DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,Koen SLOOTWEG POSITION,Koen SLOOTWEG LAP TIME,Koen SLOOTWEG ELAPSED TIME,EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME,LIM Yong Jin POSITION,LIM Yong Jin LAP TIME,LIM Yong Jin ELAPSED TIME,Kiichi SHIGEHIRO POSITION,Kiichi SHIGEHIRO LAP TIME,Kiichi SHIGEHIRO ELAPSED TIME,Tobias PIETZSCH POSITION,Tobias PIETZSCH LAP TIME,Tobias PIETZSCH ELAPSED TIME
2,9.80,9.80,4,10.12,10.12,3,9.97,9.97,6,10.40,10.40,5,10.21,10.21,1,9.69,
2,14.39,24.19,4,14.40,24.52,3,14.37,24.34,6,14.43,24.83,5,14.47,24.68,1,14.39,
1,13.29,37.48,4,13.42,37.94,3,13.41,37.75,6,13.44,38.27,5,13.40,38.08,2,13.47,
1,12.70,50.18,4,12.45,50.39,2,12.48,50.23,6,12.42,50.69,5,12.37,50.45,3,12.78,
4,11.14,1:01.32,2,10.79,1:01.18,1,10.88,1:01.11,6,10.99,1:01.68,5,11.00,1:01.45,3,10.92,
5,10.65,1:11.97,3,10.58,1:11.76,2,10.62,1:11.73,1,9.86,1:11.54,6,10.64,1:12.09,4,10.63,
5,9.53,1:21.50,2,9.56,1:21.32,3,9.66,1:21.39,1,9.73,1:21.27,6,9.57,1:21.66,4,9.61,
1,9.28,1:30.78,2,9.60,1:30.92,4,9.76,1:31.15,3,9.73,1:31.00,6,9.71,1:31.37,5,9.71,
1,9.65,1:40.43,2,9.61,1:40.53,4,9.66,1:40.81,3,9.68,1:40.68,6,9.67,1:41.04,5,9.75,
1,9.64,1:50.07,3,9.67,1:50.20,4,9.53,1:50.34,2,9.50,1:50.18,6,9.58,1:50.62,5,9.55,
1,9.40,1:59.47,4,9.66,1:59.86,3,9.36,1:59.70,1,9.29,1:59.47,6,9.39,2:00.01,5,9.46,
2,9.34,2:08.81,4,9.62,2:09.48,3,9.21,2:08.91,1,9.24,2:08.71,6,11.42,2:11.43,5,9.64,
2,9.63,2:18.44,4,9.81,2:19.29,3,9.64,2:18.55,1,9.52,2:18.23,6,15.16,2:26.59,5,9.83,
2,9.66,2:28.10,4,9.93,2:29.22,3,9.84,2:28.39,1,9.77,2:28.00,6,11.76,2:38.35,5,9.93,
