KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,CANADA POSITION,CANADA LAP TIME,CANADA ELAPSED TIME,CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME
3,12.40,12.40,1,12.12,12.12,2,12.21,12.21,4,12.64,12.64
3,9.37,21.77,1,9.46,21.58,2,9.46,21.67,4,9.22,21.86
3,9.24,31.01,1,9.18,30.76,2,9.22,30.89,4,9.32,31.18
3,9.17,40.18,1,9.22,39.98,2,9.19,40.08,4,9.08,40.26
3,9.22,49.40,1,9.23,49.21,2,9.21,49.29,4,9.37,49.63
3,9.06,58.46,1,9.04,58.25,2,9.05,58.34,4,9.14,58.77
3,9.10,1:07.56,1,9.15,1:07.40,2,9.14,1:07.48,4,8.99,1:07.76
3,9.35,1:16.91,1,9.33,1:16.73,2,9.35,1:16.83,4,9.28,1:17.04
3,9.29,1:26.20,1,9.19,1:25.92,2,9.17,1:26.00,4,9.36,1:26.40
1,8.91,1:35.11,2,9.29,1:35.21,3,9.28,1:35.28,4,9.14,1:35.54
1,9.00,1:44.11,2,9.03,1:44.24,3,9.06,1:44.34,4,8.88,1:44.42
1,8.90,1:53.01,2,8.87,1:53.11,3,8.90,1:53.24,4,9.06,1:53.48
1,8.74,2:01.75,3,9.00,2:02.11,2,8.84,2:02.08,4,8.82,2:02.30
1,8.83,2:10.58,3,8.93,2:11.04,2,8.75,2:10.83,4,8.83,2:11.13
1,8.81,2:19.39,3,8.83,2:19.87,2,8.84,2:19.67,4,8.84,2:19.97
1,8.80,2:28.19,3,8.84,2:28.71,2,8.90,2:28.57,4,9.05,2:29.02
1,9.10,2:37.29,3,9.03,2:37.74,2,8.89,2:37.46,4,9.01,2:38.03
1,8.99,2:46.28,3,8.86,2:46.60,2,8.91,2:46.37,4,9.17,2:47.20
1,8.72,2:55.00,3,9.06,2:55.66,2,8.70,2:55.07,4,9.07,2:56.27
1,8.82,3:03.82,3,8.87,3:04.53,2,8.79,3:03.86,4,8.53,3:04.80
1,8.88,3:12.70,3,8.80,3:13.33,2,8.89,3:12.75,4,8.68,3:13.48
1,9.03,3:21.73,3,8.94,3:22.27,2,9.09,3:21.84,4,8.96,3:22.44
1,9.26,3:30.99,3,9.26,3:31.53,2,9.22,3:31.06,4,10.19,3:32.63
1,9.10,3:40.09,3,9.02,3:40.55,2,9.13,3:40.19,4,9.61,3:42.24
1,8.83,3:48.92,3,8.95,3:49.50,2,8.77,3:48.96,4,9.35,3:51.59
1,8.96,3:57.88,3,8.95,3:58.45,2,9.01,3:57.97,4,9.00,4:00.59
1,9.04,4:06.916,3,8.86,4:07.308,2,8.99,4:06.952,4,9.14,4:09.729
