FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,ITALY POSITION,ITALY LAP TIME,ITALY ELAPSED TIME
1,12.89,12.89,2,12.98,12.98
1,9.72,22.61,2,9.74,22.72
1,9.74,32.35,2,9.76,32.48
1,9.50,41.85,2,9.49,41.97
1,9.51,51.36,2,9.48,51.45
1,9.11,1:00.47,2,9.13,1:00.58
1,8.50,1:08.97,2,8.49,1:09.07
1,8.47,1:17.44,2,8.61,1:17.68
1,8.49,1:25.93,2,8.47,1:26.15
1,8.73,1:34.66,2,8.62,1:34.77
2,9.18,1:43.84,1,9.01,1:43.78
2,9.40,1:53.24,1,9.41,1:53.19
1,9.54,2:02.78,2,9.71,2:02.90
1,9.39,2:12.17,2,9.30,2:12.20
2,9.11,2:21.28,1,8.97,2:21.17
1,8.65,2:29.93,1,8.76,2:29.93
1,8.54,2:38.47,2,8.64,2:38.57
2,8.67,2:47.143,1,8.55,2:47.121
