Andrey STARZHINSKIY POSITION,Andrey STARZHINSKIY LAP TIME,Andrey STARZHINSKIY ELAPSED TIME,Timothy DEWISPELAERE POSITION,Timothy DEWISPELAERE LAP TIME,Timothy DEWISPELAERE ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,V Gundmi RAGHAVENDRA POSITION,V Gundmi RAGHAVENDRA LAP TIME,V Gundmi RAGHAVENDRA ELAPSED TIME
4,10.02,10.02,2,9.63,9.63,1,9.49,9.49,5,10.19,10.19,3,9.85,9.85,6,10.30,10.30
4,15.20,25.22,2,15.35,24.98,1,15.31,24.80,5,15.23,25.42,3,15.28,25.13,6,15.26,25.56
4,14.61,39.83,2,14.60,39.58,1,14.66,39.46,5,14.64,40.06,3,14.60,39.73,6,14.60,40.16
4,14.29,54.12,2,14.22,53.80,1,14.13,53.59,5,14.27,54.33,3,14.28,54.01,6,14.30,54.46
4,13.25,1:07.37,2,13.30,1:07.10,1,13.30,1:06.89,5,13.04,1:07.37,3,13.25,1:07.26,6,13.11,1:07.57
4,10.74,1:18.11,1,10.82,1:17.92,2,11.12,1:18.01,5,10.75,1:18.12,3,10.83,1:18.09,6,11.01,1:18.58
5,10.08,1:28.19,1,10.09,1:28.01,3,10.09,1:28.10,4,10.05,1:28.17,2,9.99,1:28.08,6,10.29,1:28.87
4,10.02,1:38.21,2,9.94,1:37.95,3,9.94,1:38.04,6,24.99,1:53.16,1,9.80,1:37.88,5,10.08,1:38.95
4,10.54,1:48.75,2,10.54,1:48.49,3,10.61,1:48.65,6,19.30,2:12.46,1,10.50,1:48.38,5,10.18,1:49.13
3,10.22,1:58.97,4,10.58,1:59.07,1,10.12,1:58.77,6,12.83,2:25.29,2,10.46,1:58.84,5,10.82,1:59.95
3,9.97,2:08.94,4,9.88,2:08.95,1,9.97,2:08.74,6,9.80,2:35.09,2,9.98,2:08.82,5,11.41,2:11.36
4,11.38,2:20.32,3,9.62,2:18.57,1,9.62,2:18.36,6,9.97,2:45.06,2,9.63,2:18.45,5,11.84,2:23.20
4,11.51,2:31.83,2,9.37,2:27.94,3,9.60,2:27.96,6,10.63,2:55.69,1,9.32,2:27.77,5,12.01,2:35.21
3,12.48,2:44.307,0,,PEN,2,9.46,2:37.419,5,11.46,3:07.143,1,9.34,2:37.107,4,12.34,2:47.543
