Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
1,9.19,9.19,4,9.31,9.31,2,9.26,9.26,5,9.39,9.39,6,10.17,10.17,3,9.28,9.28
2,12.81,22.00,4,12.98,22.29,3,12.98,22.24,1,12.32,21.71,5,12.27,22.44,6,13.27,22.56
5,12.45,34.46,3,12.08,34.37,6,12.60,34.85,1,12.29,34.01,2,11.81,34.25,4,11.88,34.45
3,10.97,45.43,0,,,4,10.70,45.56,1,11.11,45.12,5,11.36,45.62,2,10.77,45.22
4,11.52,56.96,0,,,5,11.56,57.12,2,11.60,56.73,3,11.27,56.89,1,11.45,56.67
3,10.74,1:07.70,0,,,5,11.00,1:08.12,1,10.70,1:07.44,4,11.17,1:08.06,2,10.81,1:07.49
3,10.27,1:17.97,0,,,4,10.10,1:18.22,2,10.32,1:17.76,5,10.24,1:18.31,1,10.24,1:17.73
3,10.22,1:28.19,0,,,4,10.06,1:28.29,1,10.17,1:27.94,5,10.18,1:28.50,2,10.24,1:27.97
3,10.49,1:38.68,0,,,4,10.50,1:38.80,1,10.53,1:38.47,5,10.42,1:38.92,2,10.51,1:38.48
2,9.80,1:48.48,0,,,5,10.17,1:48.97,3,10.11,1:48.59,4,9.67,1:48.60,1,9.97,1:48.46
1,9.60,1:58.08,0,,,3,9.62,1:58.60,2,9.63,1:58.22,5,10.27,1:58.87,4,10.13,1:58.60
1,9.63,2:07.72,0,,,3,9.68,2:08.28,2,9.50,2:07.73,4,9.43,2:08.31,5,10.89,2:09.49
2,9.98,2:17.71,0,,,4,9.83,2:18.12,1,9.91,2:17.64,3,9.71,2:18.02,5,12.44,2:21.94
1,10.30,2:28.003,0,,DNS,4,10.12,2:28.237,2,10.49,2:28.121,3,10.19,2:28.204,5,13.92,2:35.860
