AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
1,8.29,8.29,3,8.63,8.63,4,8.84,8.84,5,8.95,8.95,2,8.43,8.43,6,9.06,9.06,7,9.26,9.26,8,9.39,9.39
2,11.84,20.13,4,11.83,20.46,5,11.70,20.54,1,11.10,20.05,3,11.81,20.24,6,11.61,20.67,7,11.45,20.71,8,11.46,20.85
3,10.52,30.65,7,10.47,30.93,2,10.08,30.62,4,10.61,30.66,1,10.30,30.54,6,10.21,30.88,5,10.05,30.76,8,10.21,31.06
2,9.72,40.37,6,9.93,40.86,3,9.84,40.46,4,9.92,40.58,1,9.74,40.28,7,9.99,40.87,5,9.97,40.73,8,10.01,41.07
2,9.62,49.99,3,9.19,50.05,4,9.63,50.09,5,9.67,50.25,1,9.60,49.88,7,9.61,50.48,6,9.65,50.38,8,9.51,50.58
2,9.11,59.10,4,9.28,59.33,3,9.14,59.23,5,9.18,59.43,1,9.14,59.02,7,9.09,59.57,5,9.05,59.43,8,9.08,59.66
2,9.39,1:08.49,4,9.35,1:08.68,3,9.35,1:08.58,7,9.52,1:08.95,1,9.38,1:08.40,6,9.29,1:08.86,5,9.36,1:08.79,8,9.36,1:09.02
2,9.54,1:18.03,4,9.53,1:18.21,3,9.53,1:18.11,7,9.52,1:18.47,1,9.54,1:17.94,5,9.43,1:18.29,6,9.59,1:18.38,8,9.51,1:18.53
2,9.60,1:27.63,5,9.66,1:27.87,3,9.58,1:27.69,7,9.56,1:28.03,1,9.54,1:27.48,4,9.45,1:27.74,5,9.49,1:27.87,8,9.53,1:28.06
3,9.51,1:37.14,8,9.83,1:37.70,2,9.44,1:37.13,7,9.49,1:37.52,1,9.55,1:37.03,4,9.49,1:37.23,5,9.50,1:37.37,6,9.40,1:37.46
4,9.54,1:46.68,8,9.32,1:47.02,1,9.09,1:46.22,7,9.34,1:46.86,3,9.48,1:46.51,2,9.24,1:46.47,5,9.34,1:46.71,6,9.33,1:46.79
5,9.39,1:56.07,7,9.46,1:56.48,1,9.15,1:55.37,6,9.36,1:56.22,8,9.98,1:56.49,2,9.09,1:55.56,3,9.07,1:55.78,4,9.12,1:55.91
5,9.14,2:05.21,7,9.90,2:06.38,2,9.26,2:04.63,6,9.36,2:05.58,8,10.07,2:06.56,1,8.75,2:04.31,4,9.24,2:05.02,3,8.81,2:04.72
4,9.44,2:14.636,7,10.26,2:16.622,3,9.48,2:14.093,6,9.59,2:15.153,8,10.24,2:16.792,1,9.01,2:13.308,5,9.70,2:14.690,2,9.17,2:13.871
