BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,JIA Haidong POSITION,JIA Haidong LAP TIME,JIA Haidong ELAPSED TIME
2,11.25,11.25,1,11.07,11.07,3,11.42,11.42,6,11.89,11.89,4,11.68,11.68,5,11.84,11.84
4,16.38,27.63,2,16.35,27.42,3,16.09,27.51,6,16.25,28.14,5,16.27,27.95,1,15.52,27.36
3,12.66,40.29,2,12.86,40.28,4,12.86,40.37,6,12.48,40.62,5,12.49,40.44,1,12.80,40.16
2,11.98,52.27,5,12.40,52.68,3,12.02,52.39,6,12.19,52.81,1,11.72,52.16,4,12.40,52.56
5,11.56,1:03.83,6,11.36,1:04.04,2,11.23,1:03.62,1,10.76,1:03.57,3,11.59,1:03.75,4,11.23,1:03.79
5,10.64,1:14.47,6,10.55,1:14.59,2,10.56,1:14.18,1,10.51,1:14.08,3,10.53,1:14.28,4,10.53,1:14.32
5,10.07,1:24.54,6,10.03,1:24.62,3,10.13,1:24.31,2,10.13,1:24.21,1,9.80,1:24.08,4,10.12,1:24.44
5,9.93,1:34.47,6,9.98,1:34.60,4,10.08,1:34.39,1,9.97,1:34.18,2,10.24,1:34.32,3,9.89,1:34.33
3,9.52,1:43.99,6,9.77,1:44.37,5,9.85,1:44.24,1,9.57,1:43.75,4,9.79,1:44.11,2,9.56,1:43.89
4,9.52,1:53.51,6,9.41,1:53.78,5,9.37,1:53.61,1,9.52,1:53.27,2,9.18,1:53.29,3,9.50,1:53.39
4,8.88,2:02.39,6,8.87,2:02.65,5,8.88,2:02.49,1,8.92,2:02.19,2,8.99,2:02.28,3,8.96,2:02.35
3,8.91,2:11.30,6,8.92,2:11.57,5,8.98,2:11.47,1,8.97,2:11.16,2,9.00,2:11.28,4,9.06,2:11.41
3,8.78,2:20.08,6,8.96,2:20.53,5,8.92,2:20.39,1,8.70,2:19.86,2,8.71,2:19.99,4,8.89,2:20.30
3,8.82,2:28.885,6,9.48,2:29.985,5,,2:29.312,1,8.73,2:28.569,2,8.74,2:28.713,4,,2:29.310
