UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME
1,12.32,12.32,2,12.43,12.43,3,12.60,12.60
1,9.43,21.75,2,9.43,21.86,3,9.35,21.95
1,9.24,30.99,2,9.25,31.11,3,9.25,31.20
1,9.29,40.28,2,9.25,40.36,3,9.25,40.45
1,9.58,49.86,2,9.61,49.97,3,9.56,50.01
1,9.41,59.27,2,9.41,59.38,3,9.51,59.52
1,9.35,1:08.62,2,9.32,1:08.70,3,9.24,1:08.76
1,9.53,1:18.15,2,9.54,1:18.24,3,9.53,1:18.29
1,9.46,1:27.61,2,9.52,1:27.76,3,9.69,1:27.98
1,9.34,1:36.95,2,9.24,1:37.00,3,9.11,1:37.09
3,9.54,1:46.49,1,9.35,1:46.35,2,9.39,1:46.48
3,9.43,1:55.92,1,9.25,1:55.60,2,9.23,1:55.71
3,9.13,2:05.05,1,9.31,2:04.91,2,9.27,2:04.98
3,9.37,2:14.42,1,9.31,2:14.22,2,9.33,2:14.31
3,9.48,2:23.90,1,9.26,2:23.48,2,9.36,2:23.67
3,9.82,2:33.72,1,9.34,2:32.82,2,9.50,2:33.17
3,9.14,2:42.86,1,9.37,2:42.19,2,9.28,2:42.45
3,9.03,2:51.89,1,9.17,2:51.36,2,9.34,2:51.79
3,9.28,3:01.17,1,9.28,3:00.64,2,9.15,3:00.94
3,9.17,3:10.34,1,9.27,3:09.91,2,9.24,3:10.18
3,9.15,3:19.49,1,9.26,3:19.17,2,9.06,3:19.24
3,9.23,3:28.72,1,9.25,3:28.42,2,9.41,3:28.65
3,9.81,3:38.53,1,9.31,3:37.73,2,9.47,3:38.12
3,9.62,3:48.15,1,9.21,3:46.94,2,9.38,3:47.50
3,9.50,3:57.65,1,9.17,3:56.11,2,9.31,3:56.81
3,9.30,4:06.95,1,9.30,4:05.41,2,9.40,4:06.21
3,9.27,4:16.222,1,9.34,4:14.75,2,9.22,4:15.43
