START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,9.23,9.23,2,9.36,9.36,5,9.55,9.55,3,9.40,9.40,4,9.43,9.43,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,Heats,2
1,13.77,23.00,2,13.81,23.17,4,13.87,23.42,5,14.14,23.54,3,13.84,23.27,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,Heats,2
1,13.72,36.72,2,13.71,36.88,4,13.71,37.13,5,13.69,37.23,3,13.70,36.97,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,Heats,2
1,13.81,50.53,2,13.80,50.68,4,13.81,50.94,5,13.86,51.09,3,13.81,50.78,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,Heats,2
1,13.15,1:03.68,2,13.11,1:03.79,4,13.08,1:04.02,5,13.05,1:04.14,3,13.11,1:03.89,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,Heats,2
2,11.67,1:15.35,1,11.56,1:15.35,4,11.67,1:15.69,5,11.69,1:15.83,3,11.64,1:15.53,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,Heats,2
2,11.66,1:27.01,1,11.54,1:26.89,4,11.49,1:27.18,5,11.54,1:27.37,3,11.49,1:27.02,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,Heats,2
1,10.78,1:37.79,2,11.04,1:37.93,4,10.99,1:38.17,5,10.92,1:38.29,3,11.02,1:38.04,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,Heats,2
1,11.02,1:48.81,2,11.07,1:49.00,4,11.06,1:49.23,5,11.00,1:49.29,3,11.04,1:49.08,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,Heats,2
1,10.62,1:59.43,3,10.64,1:59.64,4,10.52,1:59.75,5,10.55,1:59.84,2,10.44,1:59.52,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,Heats,2
1,10.16,2:09.59,3,10.15,2:09.79,4,10.13,2:09.88,5,10.17,2:10.01,2,10.17,2:09.69,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,Heats,2
1,9.82,2:19.41,3,9.70,2:19.49,4,9.73,2:19.61,5,9.78,2:19.79,2,9.76,2:19.45,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,Heats,2
3,9.82,2:29.23,1,9.16,2:28.65,2,9.29,2:28.90,5,10.06,2:29.85,4,9.88,2:29.33,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,Heats,2
4,9.99,2:39.219,1,9.64,2:38.286,2,9.46,2:38.358,5,10.50,2:40.343,3,9.73,2:39.054,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,Heats,2
