START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
6,9.785,9.785,3,9.001,9.001,5,9.388,9.388,2,8.978,8.978,4,9.115,9.115,1,8.842,8.842,2004-2005,"2004 World Cup 2, China, Beijing",1500M,w,SemiFinals,3
1,11.196,20.981,3,12.217,21.217,6,12.269,21.657,4,12.310,21.288,5,12.444,21.558,2,12.171,21.012,2004-2005,"2004 World Cup 2, China, Beijing",1500M,w,SemiFinals,3
5,12.095,33.076,2,11.648,32.865,6,11.454,33.110,3,11.620,32.908,4,11.366,32.923,1,11.615,32.627,2004-2005,"2004 World Cup 2, China, Beijing",1500M,w,SemiFinals,3
3,11.444,44.519,4,11.722,44.587,6,11.774,44.883,1,11.120,44.027,5,11.803,44.726,2,11.546,44.173,2004-2005,"2004 World Cup 2, China, Beijing",1500M,w,SemiFinals,3
3,11.260,55.778,6,11.443,56.029,5,11.125,56.008,2,11.718,55.745,4,11.204,55.929,1,11.403,55.576,2004-2005,"2004 World Cup 2, China, Beijing",1500M,w,SemiFinals,3
2,10.466,1:06.244,5,10.722,1:06.750,6,10.792,1:06.799,3,10.673,1:06.418,1,10.192,1:06.120,4,10.854,1:06.429,2004-2005,"2004 World Cup 2, China, Beijing",1500M,w,SemiFinals,3
2,10.636,1:16.880,5,10.402,1:17.152,6,10.562,1:17.361,4,10.579,1:16.996,3,10.847,1:16.967,1,10.197,1:16.625,2004-2005,"2004 World Cup 2, China, Beijing",1500M,w,SemiFinals,3
4,10.487,1:27.366,5,10.333,1:27.484,6,10.224,1:27.585,3,10.183,1:27.178,1,10.163,1:27.129,2,10.508,1:27.132,2004-2005,"2004 World Cup 2, China, Beijing",1500M,w,SemiFinals,3
4,9.987,1:37.352,6,10.263,1:37.746,5,9.862,1:37.446,3,10.169,1:37.347,2,10.183,1:37.312,1,10.122,1:37.254,2004-2005,"2004 World Cup 2, China, Beijing",1500M,w,SemiFinals,3
6,10.578,1:47.930,4,9.786,1:47.532,3,9.923,1:47.369,2,9.930,1:47.277,5,10.271,1:47.583,1,9.966,1:47.219,2004-2005,"2004 World Cup 2, China, Beijing",1500M,w,SemiFinals,3
6,10.153,1:58.082,5,10.258,1:57.789,4,10.241,1:57.609,3,10.263,1:57.540,2,9.929,1:57.512,1,10.199,1:57.418,2004-2005,"2004 World Cup 2, China, Beijing",1500M,w,SemiFinals,3
6,10.886,2:08.967,3,10.058,2:07.846,2,10.172,2:07.781,4,10.401,2:07.940,5,10.502,2:08.013,1,10.250,2:07.667,2004-2005,"2004 World Cup 2, China, Beijing",1500M,w,SemiFinals,3
6,11.431,2:20.398,1,9.585,2:17.431,3,10.047,2:17.828,5,10.117,2:18.057,4,9.993,2:18.006,2,9.791,2:17.458,2004-2005,"2004 World Cup 2, China, Beijing",1500M,w,SemiFinals,3
6,11.98,2:32.373,1,9.98,2:27.407,4,10.16,2:27.980,3,9.87,2:27.927,5,10.45,2:28.451,2,10.18,2:27.629,2004-2005,"2004 World Cup 2, China, Beijing",1500M,w,SemiFinals,3
