START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
2,8.40,8.40,1,8.25,8.25,3,8.51,8.51,5,8.64,8.64,6,8.68,8.68,7,8.81,8.81,4,8.56,8.56,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,m,Semifinals,3
3,11.24,19.64,2,11.28,19.53,4,11.22,19.73,5,11.14,19.78,7,11.35,20.03,6,11.10,19.91,1,10.85,19.41,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,m,Semifinals,3
2,10.37,30.01,3,10.50,30.03,5,10.53,30.26,4,10.26,30.04,6,10.27,30.30,7,10.45,30.36,1,10.52,29.93,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,m,Semifinals,3
2,9.62,39.63,3,9.68,39.71,5,9.63,39.89,4,9.76,39.80,7,9.74,40.04,6,9.60,39.96,1,9.56,39.49,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,m,Semifinals,3
2,9.47,49.10,3,9.46,49.17,4,9.32,49.21,5,9.46,49.26,7,9.54,49.58,6,9.41,49.37,1,9.49,48.98,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,m,Semifinals,3
3,9.37,58.47,4,9.38,58.55,2,9.20,58.41,6,9.45,58.71,7,9.25,58.83,5,9.27,58.64,1,9.41,58.39,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,m,Semifinals,3
2,9.18,1:07.65,3,9.17,1:07.72,1,9.15,1:07.56,5,9.22,1:07.93,6,9.22,1:08.05,4,9.17,1:07.81,7,9.75,1:08.14,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,m,Semifinals,3
5,9.89,1:17.54,3,9.64,1:17.36,2,9.75,1:17.31,4,9.48,1:17.41,6,9.51,1:17.56,1,9.42,1:17.23,7,9.46,1:17.60,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,m,Semifinals,3
6,9.68,1:27.22,3,9.64,1:27.00,2,9.59,1:26.90,4,9.68,1:27.09,5,9.63,1:27.19,1,9.55,1:26.78,7,9.79,1:27.39,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,m,Semifinals,3
6,9.39,1:36.61,3,9.41,1:36.41,2,9.43,1:36.33,5,9.42,1:36.51,4,9.29,1:36.48,1,9.45,1:36.23,7,9.34,1:36.73,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,m,Semifinals,3
5,9.46,1:46.07,4,9.49,1:45.90,3,9.44,1:45.77,6,9.60,1:46.11,1,9.17,1:45.65,2,9.42,1:45.65,7,9.53,1:46.26,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,m,Semifinals,3
5,9.41,1:55.48,4,9.44,1:55.34,3,9.40,1:55.17,7,9.85,1:55.96,1,9.31,1:54.96,2,9.41,1:55.06,6,9.42,1:55.68,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,m,Semifinals,3
5,9.49,2:04.97,4,9.41,2:04.75,3,9.45,2:04.62,7,10.29,2:06.25,1,9.49,2:04.45,2,9.46,2:04.52,6,9.53,2:05.21,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,m,Semifinals,3
5,9.64,2:14.605,4,9.83,2:14.574,3,9.83,2:14.444,7,11.11,2:17.360,1,9.82,2:14.267,2,9.84,2:14.358,6,9.69,2:14.892,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,m,Semifinals,3
