START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
3,10.21,10.21,6,10.46,10.46,5,10.34,10.34,1,10.09,10.09,2,10.13,10.13,7,10.66,,4,10.25,10.25,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,w,Quarterfinals,8
3,14.35,24.56,5,14.21,24.67,6,14.48,24.82,1,14.12,24.21,2,14.25,24.38,7,14.31,,4,14.36,24.61,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,w,Quarterfinals,8
3,13.49,38.05,4,13.53,38.20,6,13.63,38.45,1,13.51,37.72,2,13.48,37.86,7,13.61,,5,13.72,38.33,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,w,Quarterfinals,8
3,12.90,50.95,4,12.85,51.05,5,12.61,51.06,1,12.91,50.63,2,12.91,50.77,7,12.66,,6,12.83,51.16,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,w,Quarterfinals,8
4,12.14,1:03.09,6,12.14,1:03.19,2,11.94,1:03.00,1,12.34,1:02.97,3,12.30,1:03.07,5,11.92,,7,12.04,1:03.20,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,w,Quarterfinals,8
1,10.67,1:13.76,6,11.34,1:14.53,2,10.94,1:13.94,3,11.08,1:14.05,4,11.08,1:14.15,7,11.66,,5,11.16,1:14.36,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,w,Quarterfinals,8
1,10.61,1:24.37,6,10.19,1:24.72,4,10.59,1:24.53,3,10.44,1:24.49,2,10.27,1:24.42,7,10.55,,5,10.26,1:24.62,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,w,Quarterfinals,8
2,10.36,1:34.73,6,10.53,1:35.25,4,10.40,1:34.93,3,10.32,1:34.81,1,10.22,1:34.64,7,11.23,,5,10.46,1:35.08,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,w,Quarterfinals,8
2,10.78,1:45.51,6,10.62,1:45.87,4,10.72,1:45.65,3,10.79,1:45.60,1,10.78,1:45.42,7,11.99,,5,10.71,1:45.79,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,w,Quarterfinals,8
1,10.28,1:55.79,6,10.95,1:56.82,4,10.54,1:56.19,3,10.46,1:56.06,2,10.59,1:56.01,7,12.62,,5,10.84,1:56.63,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,w,Quarterfinals,8
1,9.75,2:05.54,6,11.08,2:07.90,4,10.03,2:06.22,3,10.04,2:06.10,2,9.65,2:05.66,7,13.34,,5,11.25,2:07.88,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,w,Quarterfinals,8
1,9.98,2:15.52,5,11.47,2:19.37,4,10.23,2:16.45,3,10.21,2:16.31,2,9.94,2:15.60,7,14.16,,6,11.79,2:19.67,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,w,Quarterfinals,8
1,10.51,2:26.03,5,11.99,2:31.36,4,10.84,2:27.29,3,10.57,2:26.88,2,10.54,2:26.14,7,14.22,,6,12.15,2:31.82,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,w,Quarterfinals,8
1,10.75,2:36.78,5,12.32,2:43.68,4,11.80,2:39.09,3,10.95,2:37.83,2,10.70,2:36.84,7,14.32,2:57.25,6,12.65,2:44.47,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,w,Quarterfinals,8
