START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,8.83,8.83,3,8.96,8.96,5,9.33,9.33,1,8.78,8.78,4,9.08,9.08,6,9.45,9.45,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepSemifinals,2
3,12.71,21.54,4,12.68,21.64,5,12.44,21.77,2,12.62,21.40,1,12.17,21.25,6,12.42,21.87,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepSemifinals,2
3,12.01,33.55,4,12.02,33.66,5,12.00,33.77,2,12.00,33.40,1,12.06,33.31,6,12.01,33.88,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepSemifinals,2
3,11.88,45.43,4,11.90,45.56,5,11.80,45.57,1,11.83,45.23,2,11.95,45.26,6,11.83,45.71,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepSemifinals,2
4,10.97,56.40,3,10.73,56.29,5,11.00,56.57,1,10.96,56.19,2,10.96,56.22,6,10.96,56.67,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepSemifinals,2
4,10.23,1:06.63,2,10.18,1:06.47,5,10.19,1:06.76,1,10.12,1:06.31,3,10.30,1:06.52,6,10.18,1:06.85,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepSemifinals,2
4,10.41,1:17.04,2,10.39,1:16.86,5,10.39,1:17.15,1,10.41,1:16.72,3,10.41,1:16.93,6,10.37,1:17.22,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepSemifinals,2
4,10.08,1:27.12,2,10.01,1:26.87,5,10.11,1:27.26,1,10.04,1:26.76,3,10.13,1:27.06,6,10.13,1:27.35,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepSemifinals,2
4,9.62,1:36.74,3,9.74,1:36.61,5,9.56,1:36.82,1,9.73,1:36.49,2,9.50,1:36.56,6,9.55,1:36.90,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepSemifinals,2
4,9.39,1:46.13,3,9.42,1:46.03,5,9.41,1:46.23,1,9.33,1:45.82,2,9.37,1:45.93,6,9.43,1:46.33,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepSemifinals,2
5,9.39,1:55.52,2,9.39,1:55.42,3,9.19,1:55.42,1,9.45,1:55.27,4,9.51,1:55.44,6,9.25,1:55.58,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepSemifinals,2
1,8.95,2:04.47,3,9.53,2:04.95,2,9.27,2:04.69,4,9.71,2:04.98,6,9.68,2:05.12,5,9.50,2:05.08,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepSemifinals,2
1,8.90,2:13.37,3,9.57,2:14.52,2,8.92,2:13.61,5,9.94,2:14.92,6,9.93,2:15.05,4,9.52,2:14.60,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepSemifinals,2
2,9.30,2:22.663,3,9.62,2:24.135,1,8.98,2:22.584,5,10.13,2:25.041,6,10.49,2:25.537,4,9.63,2:24.230,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepSemifinals,2
