START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,9.180,9.180,1,8.780,8.780,6,9.260,9.260,2,8.850,8.850,3,9.020,9.020,5,9.190,9.190,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,Heats,3
4,12.010,21.190,1,12.140,20.920,5,12.100,21.360,3,12.290,21.150,2,11.990,21.010,6,12.340,21.540,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,Heats,3
3,11.570,32.770,1,11.680,32.610,5,11.560,32.920,4,11.760,32.910,2,11.640,32.650,6,11.730,33.270,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,Heats,3
3,10.980,43.750,2,11.120,43.730,6,11.170,44.100,1,10.750,43.660,5,11.300,43.950,4,10.560,43.830,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,Heats,3
4,10.340,54.100,2,10.150,53.880,6,10.360,54.460,5,10.510,54.170,3,9.980,53.940,1,9.990,53.830,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,Heats,3
2,10.050,1:04.150,3,10.310,1:04.190,6,10.070,1:04.530,5,10.070,1:04.250,3,10.250,1:04.190,1,10.220,1:04.060,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,Heats,3
1,9.890,1:14.050,3,9.970,1:14.170,6,10.030,1:14.560,2,9.910,1:14.160,5,10.090,1:14.290,4,10.160,1:14.220,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,Heats,3
1,10.230,1:24.290,4,10.220,1:24.390,6,10.390,1:24.950,3,10.180,1:24.350,5,10.100,1:24.400,2,10.080,1:24.300,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,Heats,3
2,9.710,1:34.000,1,9.550,1:33.950,6,10.140,1:35.100,5,9.810,1:34.170,4,9.730,1:34.130,3,9.740,1:34.050,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,Heats,3
2,9.500,1:43.500,5,10.020,1:43.980,6,10.540,1:45.640,3,9.560,1:43.730,4,9.620,1:43.760,1,9.300,1:43.360,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,Heats,3
2,9.410,1:52.920,5,9.500,1:53.480,6,10.800,1:56.440,3,9.260,1:53.000,4,9.310,1:53.070,1,9.460,1:52.820,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,Heats,3
3,9.380,2:02.310,5,9.540,2:03.020,6,11.300,2:07.750,1,9.200,2:02.200,4,9.520,2:02.600,2,9.470,2:02.300,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,Heats,3
3,9.520,2:11.830,5,10.180,2:13.210,6,11.870,2:19.620,1,9.590,2:11.790,4,10.150,2:12.760,2,9.510,2:11.810,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,Heats,3
2,9.720,2:21.560,4,10.740,2:23.960,5,12.060,2:31.680,6,22.150,2:33.940,3,10.510,2:23.270,1,9.670,2:21.490,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,Heats,3
