START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
4,9.16,9.16,1,8.87,8.87,1,8.87,8.87,3,9.03,9.03,5,9.25,9.25,7,9.51,9.51,6,9.33,9.33,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Heats,1
4,10.81,19.97,1,10.77,19.64,3,10.99,19.86,2,10.72,19.75,5,10.85,20.10,7,10.82,20.33,6,10.88,20.21,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Heats,1
4,10.00,29.97,1,10.01,29.65,3,9.98,29.84,2,10.01,29.76,5,9.98,30.08,7,9.98,30.31,6,9.92,30.13,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Heats,1
5,9.84,39.81,1,9.87,39.52,3,9.86,39.70,2,9.87,39.63,4,9.69,39.77,7,9.68,39.99,6,9.71,39.84,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Heats,1
7,9.94,49.75,1,9.72,49.24,3,9.73,49.43,2,9.72,49.35,4,9.76,49.53,6,9.70,49.69,5,9.77,49.61,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Heats,1
7,9.58,59.33,2,9.59,58.83,4,9.59,59.02,1,9.45,58.80,3,9.32,58.85,6,9.51,59.20,5,9.47,59.08,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Heats,1
7,9.20,1:08.53,3,9.36,1:08.19,4,9.23,1:08.25,1,9.20,1:08.00,1,9.15,1:08.00,6,9.21,1:08.41,5,9.25,1:08.33,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Heats,1
7,9.49,1:18.02,3,9.32,1:17.51,4,9.38,1:17.63,1,9.35,1:17.35,2,9.40,1:17.40,6,9.41,1:17.82,5,9.35,1:17.68,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Heats,1
7,9.49,1:27.51,3,9.47,1:26.98,4,9.47,1:27.10,1,9.41,1:26.76,2,9.46,1:26.86,6,9.48,1:27.30,5,9.50,1:27.18,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Heats,1
6,9.84,1:37.35,3,9.25,1:36.23,7,18.74,1:45.84,1,9.22,1:35.98,2,9.22,1:36.08,4,9.33,1:36.63,5,10.13,1:37.31,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Heats,1
6,10.17,1:47.52,3,9.14,1:45.37,7,20.49,2:06.33,1,9.15,1:45.13,2,9.18,1:45.26,4,9.08,1:45.71,5,10.05,1:47.36,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Heats,1
6,10.70,1:58.22,3,9.05,1:54.42,7,15.15,2:21.48,1,9.09,1:54.22,2,9.06,1:54.32,4,9.04,1:54.75,5,9.82,1:57.18,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Heats,1
6,10.98,2:09.20,3,8.87,2:03.29,7,11.71,2:33.19,1,8.81,2:03.03,2,8.83,2:03.15,4,9.16,2:03.91,5,10.09,2:07.27,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Heats,1
6,11.12,2:20.319,3,8.91,2:12.198,7,10.90,2:44.080,1,8.92,2:11.954,2,8.94,2:12.091,4,9.66,2:13.581,5,10.81,2:18.081,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Heats,1
