START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
6,10.13,10.13,7,10.27,10.27,3,9.78,9.78,1,9.63,,5,9.96,9.96,2,9.76,9.76,4,9.79,9.79,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Quarterfinals,7
7,12.69,22.82,6,12.47,22.74,4,12.62,22.40,3,12.65,,5,12.72,22.68,1,12.29,22.05,2,12.34,22.13,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Quarterfinals,7
7,11.30,34.12,2,10.73,33.47,4,11.22,33.62,1,11.10,,6,11.34,34.02,3,11.51,33.56,5,11.88,34.01,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Quarterfinals,7
5,10.47,44.59,2,10.63,44.10,3,10.60,44.22,1,10.62,,4,10.45,44.47,7,13.75,47.31,6,11.86,45.87,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Quarterfinals,7
3,9.88,54.47,5,10.47,54.57,3,10.25,54.47,1,10.37,,2,9.91,54.38,7,9.72,57.03,6,9.39,55.26,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Quarterfinals,7
1,9.16,1:03.63,5,9.50,1:04.07,4,9.51,1:03.98,3,9.52,,2,9.42,1:03.80,7,9.46,1:06.49,6,9.33,1:04.59,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Quarterfinals,7
1,9.70,1:13.33,5,9.59,1:13.66,4,9.58,1:13.56,2,9.51,,3,9.61,1:13.41,7,9.84,1:16.33,6,9.43,1:14.02,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Quarterfinals,7
1,9.58,1:22.91,5,9.59,1:23.25,2,9.42,1:22.98,3,9.61,,4,9.70,1:23.11,7,10.39,1:26.72,6,9.40,1:23.42,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Quarterfinals,7
1,9.66,1:32.57,5,9.63,1:32.88,3,9.72,1:32.70,2,9.66,,4,9.71,1:32.82,7,10.48,1:37.20,6,9.69,1:33.11,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Quarterfinals,7
1,9.42,1:41.99,5,9.35,1:42.23,4,9.50,1:42.20,2,9.42,,3,9.29,1:42.11,7,11.06,1:48.26,6,9.33,1:42.44,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Quarterfinals,7
2,9.21,1:51.20,3,9.09,1:51.32,5,9.33,1:51.53,3,9.23,,1,8.82,1:50.93,7,12.59,2:00.85,6,9.40,1:51.84,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Quarterfinals,7
2,9.10,2:00.30,3,9.24,2:00.56,4,9.44,2:00.97,5,9.74,,1,8.87,1:59.80,7,11.76,2:12.61,6,9.80,2:01.64,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Quarterfinals,7
2,9.28,2:09.58,3,9.27,2:09.83,4,9.79,2:10.76,6,13.05,,1,9.10,2:08.90,7,11.11,2:23.72,5,10.67,2:12.31,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Quarterfinals,7
2,9.53,2:19.11,3,9.51,2:19.34,4,10.31,2:21.07,6,15.44,,1,9.63,2:18.53,7,11.39,2:35.11,5,11.30,2:23.61,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,m,Quarterfinals,7
