START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
2,9.97,9.97,3,10.06,10.06,6,10.26,10.26,1,9.86,,5,10.19,10.19,4,10.08,10.08,7,10.37,10.37,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Heats,4
3,13.20,23.17,2,13.00,23.06,5,13.03,23.29,1,13.12,,4,13.03,23.22,7,13.35,23.43,6,13.00,23.37,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Heats,4
3,12.60,35.77,2,12.60,35.66,4,12.49,35.78,1,12.59,,5,12.69,35.91,7,12.57,36.00,6,12.61,35.98,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Heats,4
5,12.18,47.95,4,12.26,47.92,3,12.06,47.84,2,12.15,,6,12.19,48.10,1,11.33,47.33,7,12.22,48.20,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Heats,4
4,10.99,58.94,3,10.93,58.85,5,11.12,58.96,2,11.05,,6,10.96,59.06,1,11.27,58.60,7,11.02,59.22,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Heats,4
3,11.03,1:09.97,4,11.14,1:09.99,5,11.18,1:10.14,2,11.12,,6,11.22,1:10.28,1,11.16,1:09.76,7,11.19,1:10.41,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Heats,4
3,10.94,1:20.91,4,11.02,1:21.01,5,10.98,1:21.12,2,10.93,,6,10.98,1:21.26,1,10.91,1:20.67,7,11.03,1:21.44,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Heats,4
2,10.43,1:31.34,3,10.51,1:31.52,4,10.47,1:31.59,1,10.43,,6,10.49,1:31.75,5,10.96,1:31.63,7,10.91,1:32.35,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Heats,4
2,10.63,1:41.97,3,10.53,1:42.05,4,10.52,1:42.11,1,10.64,,5,10.49,1:42.24,6,10.70,1:42.33,7,11.65,1:44.00,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Heats,4
4,10.21,1:52.18,2,10.05,1:52.10,3,10.02,1:52.13,1,10.14,,5,10.10,1:52.34,6,10.26,1:52.59,7,13.07,1:57.07,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Heats,4
3,9.56,2:01.74,4,9.68,2:01.78,1,9.41,2:01.54,2,9.62,,5,9.63,2:01.97,6,10.08,2:02.67,7,14.03,2:11.10,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Heats,4
3,9.35,2:11.09,4,9.45,2:11.23,1,9.32,2:10.86,2,9.29,,5,9.42,2:11.39,6,10.52,2:13.19,7,14.65,2:25.75,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Heats,4
3,9.09,2:20.18,4,9.13,2:20.36,2,9.23,2:20.09,1,9.12,,5,9.53,2:20.92,6,11.05,2:24.24,7,13.84,2:39.59,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Heats,4
3,9.53,2:29.71,4,9.38,2:29.74,2,9.47,2:29.56,1,9.42,,4,9.84,2:30.742,6,11.65,2:35.89,6,13.58,2:53.139,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Rep.Heats,4
