START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
1,11.65,11.65,4,12.25,12.25,7,12.61,,5,12.37,12.37,2,11.83,11.83,3,11.96,11.96,6,12.54,12.54,2016-2017,ISU World Short Track Championships 2017,1500m,w,Heats,4
1,16.56,28.21,4,16.47,28.72,6,16.41,,5,16.41,28.78,2,16.43,28.26,3,16.52,28.48,7,16.55,29.09,2016-2017,ISU World Short Track Championships 2017,1500m,w,Heats,4
1,15.76,43.97,5,16.03,44.75,7,15.99,,4,15.72,44.50,2,15.87,44.13,3,15.84,44.32,6,15.71,44.80,2016-2017,ISU World Short Track Championships 2017,1500m,w,Heats,4
1,14.81,58.78,5,14.53,59.28,7,14.62,,4,14.67,59.17,2,14.74,58.87,3,14.66,58.98,6,14.73,59.53,2016-2017,ISU World Short Track Championships 2017,1500m,w,Heats,4
3,13.96,1:12.74,5,13.69,1:12.97,6,13.50,,4,13.62,1:12.79,2,13.73,1:12.60,1,13.59,1:12.57,7,13.64,1:13.17,2016-2017,ISU World Short Track Championships 2017,1500m,w,Heats,4
4,11.69,1:24.43,3,11.24,1:24.21,5,11.46,,1,11.17,1:23.96,2,11.56,1:24.16,5,12.02,1:24.59,7,11.59,1:24.76,2016-2017,ISU World Short Track Championships 2017,1500m,w,Heats,4
3,10.72,1:35.15,3,10.94,1:35.15,5,10.82,,2,11.10,1:35.06,1,10.83,1:34.99,7,11.06,1:35.65,6,10.88,1:35.64,2016-2017,ISU World Short Track Championships 2017,1500m,w,Heats,4
2,10.43,1:45.58,4,10.77,1:45.92,5,10.62,,3,10.59,1:45.65,1,10.56,1:45.55,7,10.54,1:46.19,6,10.53,1:46.17,2016-2017,ISU World Short Track Championships 2017,1500m,w,Heats,4
2,10.86,1:56.44,1,10.42,1:56.34,5,10.87,,4,10.95,1:56.60,3,10.94,1:56.49,6,10.74,1:56.93,7,10.81,1:56.98,2016-2017,ISU World Short Track Championships 2017,1500m,w,Heats,4
4,10.38,2:06.82,2,10.25,2:06.59,5,10.16,,3,10.17,2:06.77,1,9.89,2:06.38,7,10.22,2:07.15,6,10.10,2:07.08,2016-2017,ISU World Short Track Championships 2017,1500m,w,Heats,4
3,10.30,2:17.12,2,10.44,2:17.03,6,10.30,,4,10.37,2:17.14,1,10.41,2:16.79,5,10.11,2:17.26,7,10.32,2:17.40,2016-2017,ISU World Short Track Championships 2017,1500m,w,Heats,4
4,10.13,2:27.25,3,10.19,2:27.22,6,10.07,,7,10.31,2:27.45,1,10.27,2:27.06,2,9.93,2:27.19,5,10.02,2:27.42,2016-2017,ISU World Short Track Championships 2017,1500m,w,Heats,4
5,10.08,2:37.33,2,9.93,2:37.15,4,9.85,,7,10.25,2:37.70,1,9.92,2:36.98,3,9.99,2:37.18,6,10.10,2:37.52,2016-2017,ISU World Short Track Championships 2017,1500m,w,Heats,4
5,10.39,2:47.72,2,10.08,2:47.23,4,10.37,,0,,PHOTO,1,10.09,2:47.07,0,,PHOTO,3,9.83,2:47.35,2016-2017,ISU World Short Track Championships 2017,1500m,w,Heats,4
