START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
6,11.30,11.30,2,10.41,10.41,4,11.05,11.05,3,10.92,10.92,5,11.06,11.06,1,10.41,10.41,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,5
5,15.88,27.18,3,16.69,27.10,4,16.08,27.13,1,15.52,26.44,6,16.23,27.29,2,16.16,26.57,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,5
6,14.66,41.84,3,14.50,41.60,4,14.51,41.64,2,14.82,41.26,5,14.39,41.68,1,14.48,41.05,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,5
5,11.44,53.28,2,11.30,52.90,3,11.27,52.91,4,11.73,52.99,6,11.77,53.45,1,11.67,52.72,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,5
4,9.88,1:03.16,3,9.83,1:02.73,2,9.75,1:02.66,5,10.26,1:03.25,6,9.92,1:03.37,1,9.83,1:02.55,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,5
3,9.93,1:13.09,1,9.76,1:12.49,4,10.43,1:13.09,5,9.90,1:13.15,6,10.04,1:13.41,2,10.23,1:12.78,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,5
5,10.07,1:23.16,1,9.98,1:22.47,3,9.73,1:22.82,4,9.70,1:22.85,6,9.76,1:23.17,2,9.87,1:22.65,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,5
5,9.72,1:32.88,2,10.09,1:32.56,1,9.73,1:32.55,4,9.79,1:32.64,6,10.10,1:33.27,3,9.95,1:32.60,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,5
4,9.59,1:42.47,1,9.82,1:42.38,2,9.83,1:42.38,5,9.84,1:42.48,6,10.05,1:43.32,3,9.85,1:42.45,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,5
3,9.59,1:52.06,1,9.55,1:51.93,2,9.66,1:52.04,5,9.90,1:52.38,6,9.81,1:53.13,4,9.64,1:52.09,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,5
4,9.79,2:01.85,1,9.40,2:01.33,3,9.63,2:01.67,5,9.99,2:02.37,6,10.05,2:03.18,2,9.53,2:01.62,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,5
3,9.28,2:11.13,1,9.50,2:10.83,4,9.83,2:11.50,5,10.49,2:12.86,6,10.39,2:13.57,2,9.49,2:11.11,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,5
1,9.31,2:20.44,4,10.07,2:20.90,3,9.39,2:20.89,5,10.45,2:23.31,6,10.06,2:23.63,2,9.44,2:20.55,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,5
2,10.07,2:30.501,1,9.20,2:30.091,3,11.37,2:32.254,0,,PEN,4,10.73,2:34.353,5,16.05,2:36.600,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,m,Heats,5
