START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.31,9.31,1,9.16,9.16,3,9.47,9.47,4,9.59,9.59,6,9.91,9.91,5,9.73,9.73,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,FinalB,1
3,13.53,22.84,1,13.53,22.69,4,13.45,22.92,2,13.16,22.75,6,13.34,23.25,5,13.28,23.01,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,FinalB,1
1,11.18,34.02,3,11.54,34.23,4,11.48,34.40,2,11.36,34.11,5,11.30,34.55,6,11.66,34.67,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,FinalB,1
1,11.47,45.49,3,11.29,45.52,6,11.30,45.70,2,11.40,45.51,4,11.07,45.62,5,11.00,45.67,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,FinalB,1
1,10.12,55.61,2,10.10,55.62,6,10.31,56.01,3,10.18,55.69,5,10.27,55.89,4,10.09,55.76,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,FinalB,1
1,10.00,1:05.61,2,10.06,1:05.68,6,10.06,1:06.07,3,10.06,1:05.75,5,10.10,1:05.99,4,10.07,1:05.83,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,FinalB,1
3,10.10,1:15.71,1,9.81,1:15.49,6,9.92,1:15.99,2,9.85,1:15.60,4,9.80,1:15.79,5,9.97,1:15.80,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,FinalB,1
3,9.89,1:25.60,1,9.92,1:25.41,6,9.80,1:25.79,2,9.92,1:25.52,4,9.88,1:25.67,5,9.95,1:25.75,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,FinalB,1
3,9.71,1:35.31,1,9.70,1:35.11,6,9.88,1:35.67,2,9.66,1:35.18,4,9.75,1:35.42,5,9.78,1:35.53,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,FinalB,1
2,9.25,1:44.56,1,9.38,1:44.49,6,9.31,1:44.98,3,9.38,1:44.56,4,9.32,1:44.74,5,9.29,1:44.82,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,FinalB,1
1,9.13,1:53.69,2,9.28,1:53.77,6,9.11,1:54.09,3,9.36,1:53.92,4,9.21,1:53.95,5,9.22,1:54.04,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,FinalB,1
1,9.17,2:02.86,2,9.17,2:02.94,4,9.10,2:03.19,6,9.35,2:03.27,3,9.12,2:03.07,5,9.20,2:03.24,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,FinalB,1
2,8.97,2:11.83,1,8.84,2:11.78,4,8.86,2:12.05,6,9.77,2:13.04,3,8.88,2:11.95,5,9.17,2:12.41,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,FinalB,1
3,9.44,2:21.267,1,9.03,2:20.802,2,9.06,2:21.105,5,10.32,2:23.357,0,,PEN,4,9.29,2:21.698,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(2),m,FinalB,1
