START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
0,9.741,9.741,0,10.069,10.069,0,9.823,9.823,0,9.814,9.814,0,10.510,10.510,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2
0,14.845,24.586,0,15.056,25.126,0,14.961,24.784,0,15.028,24.841,0,14.189,24.699,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2
0,12.561,37.147,0,12.183,37.309,0,12.097,36.881,0,12.412,37.253,0,12.615,37.314,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2
0,11.785,48.931,0,12.117,49.426,0,11.793,48.674,0,11.886,49.139,0,12.255,49.569,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2
0,12.310,1:01.241,0,12.017,1:01.443,0,12.496,1:01.171,0,12.196,1:01.335,0,11.760,1:01.329,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2
0,11.748,1:12.989,0,11.119,1:12.562,0,11.007,1:12.177,0,11.438,1:12.772,0,11.429,1:12.757,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2
0,11.086,1:24.075,0,11.267,1:23.829,0,11.432,1:23.609,0,10.913,1:23.685,0,10.973,1:23.730,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2
0,10.992,1:35.067,0,11.037,1:34.866,0,10.746,1:34.355,0,10.893,1:34.578,0,10.499,1:34.229,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2
0,10.760,1:45.826,0,10.413,1:45.278,0,10.125,1:44.479,0,9.960,1:44.538,0,9.773,1:44.002,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2
0,10.638,1:56.464,0,10.863,1:56.141,0,9.523,1:54.002,0,9.933,1:54.471,0,10.180,1:54.181,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2
0,10.993,2:07.457,0,11.164,2:07.306,0,10.143,2:04.146,0,9.857,2:04.328,0,10.070,2:04.251,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2
0,11.145,2:18.602,0,11.158,2:18.464,0,9.580,2:13.725,0,9.868,2:14.195,0,9.544,2:13.795,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2
0,11.296,2:29.897,0,11.553,2:30.017,0,9.226,2:22.952,0,9.970,2:24.165,0,9.634,2:23.429,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2
0,,,0,,,0,,,0,,,0,,,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,2
