START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,10.93,10.93,4,11.28,11.28,2,10.96,10.96,3,11.07,11.07,5,11.45,11.45,6,11.64,11.64,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),w,RepHeats,1
2,16.09,27.02,4,16.03,27.31,1,15.91,26.87,3,16.09,27.16,5,15.99,27.44,6,15.92,27.56,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),w,RepHeats,1
2,14.42,41.44,6,14.39,41.70,1,14.44,41.31,3,14.42,41.58,5,14.20,41.64,4,14.08,41.64,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),w,RepHeats,1
3,13.25,54.69,4,13.06,54.76,1,13.14,54.45,6,13.23,54.81,2,12.96,54.60,5,13.17,54.81,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),w,RepHeats,1
5,11.76,1:06.45,2,11.38,1:06.14,1,11.67,1:06.12,3,11.43,1:06.24,4,11.67,1:06.27,6,11.76,1:06.57,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),w,RepHeats,1
6,11.04,1:17.49,3,11.11,1:17.25,1,10.93,1:17.05,5,11.17,1:17.41,2,10.88,1:17.15,4,10.77,1:17.34,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),w,RepHeats,1
5,11.23,1:28.72,3,11.28,1:28.53,1,11.27,1:28.32,6,11.41,1:28.82,2,11.28,1:28.43,4,11.26,1:28.60,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),w,RepHeats,1
5,11.60,1:40.32,3,11.46,1:39.99,1,11.51,1:39.83,6,11.66,1:40.48,2,11.53,1:39.96,4,11.54,1:40.14,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),w,RepHeats,1
5,10.25,1:50.57,3,10.13,1:50.12,1,10.01,1:49.84,6,10.24,1:50.72,2,10.07,1:50.03,4,10.30,1:50.44,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),w,RepHeats,1
5,10.03,2:00.60,3,9.45,1:59.57,1,9.53,1:59.37,6,10.04,2:00.76,2,9.42,1:59.45,4,10.05,2:00.49,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),w,RepHeats,1
5,10.26,2:10.86,3,9.50,2:09.07,1,9.47,2:08.84,6,10.26,2:11.02,2,9.49,2:08.94,4,10.22,2:10.71,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),w,RepHeats,1
5,10.52,2:21.38,3,9.66,2:18.73,2,9.73,2:18.57,6,10.76,2:21.78,1,9.60,2:18.54,4,10.49,2:21.20,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),w,RepHeats,1
5,10.63,2:32.01,2,10.02,2:28.75,3,10.34,2:28.91,6,11.23,2:33.01,1,10.11,2:28.65,4,10.66,2:31.86,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),w,RepHeats,1
5,10.69,2:42.691,2,10.51,2:39.258,3,11.10,2:40.006,6,11.89,2:44.899,1,10.60,2:39.249,4,10.76,2:42.615,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(1),w,RepHeats,1
