START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,9.94,9.94,5,10.33,10.33,3,10.18,10.18,6,10.34,10.34,2,10.10,10.10,4,10.20,10.20,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Semifinals,1
1,14.89,24.83,4,14.79,25.12,3,14.92,25.10,6,14.99,25.33,2,14.84,24.94,5,15.02,25.22,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Semifinals,1
2,13.40,38.23,1,13.11,38.23,3,13.25,38.35,6,13.39,38.72,4,13.46,38.40,5,13.39,38.61,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Semifinals,1
2,12.30,50.53,4,12.56,50.79,3,12.30,50.65,6,12.33,51.05,1,12.08,50.48,5,12.34,50.95,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Semifinals,1
1,11.50,1:02.03,4,11.58,1:02.37,2,11.49,1:02.14,6,11.63,1:02.68,3,11.78,1:02.26,5,11.65,1:02.60,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Semifinals,1
1,10.90,1:12.93,4,10.94,1:13.31,2,10.93,1:13.07,6,10.84,1:13.52,3,10.92,1:13.18,5,10.85,1:13.45,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Semifinals,1
1,10.87,1:23.80,5,10.84,1:24.15,2,10.82,1:23.89,6,10.77,1:24.29,3,10.78,1:23.96,4,10.68,1:24.13,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Semifinals,1
1,10.21,1:34.01,6,10.47,1:34.62,2,10.12,1:34.01,5,10.09,1:34.38,3,10.22,1:34.18,4,10.17,1:34.30,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Semifinals,1
1,9.58,1:43.59,6,9.50,1:44.12,2,9.71,1:43.72,5,9.62,1:44.00,3,9.63,1:43.81,4,9.61,1:43.91,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Semifinals,1
1,9.51,1:53.10,6,9.52,1:53.64,2,9.48,1:53.20,4,9.41,1:53.41,3,9.50,1:53.31,5,9.63,1:53.54,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Semifinals,1
2,9.20,2:02.30,5,9.46,2:03.10,1,8.89,2:02.09,6,25.64,2:19.05,3,9.06,2:02.37,4,8.93,2:02.47,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Semifinals,1
2,8.93,2:11.23,5,9.73,2:12.83,1,9.07,2:11.16,6,25.31,2:44.36,4,8.95,2:11.32,3,8.84,2:11.31,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Semifinals,1
2,9.34,2:20.57,4,10.10,2:22.93,1,8.97,2:20.13,6,16.20,3:00.56,3,9.67,2:20.99,5,28.06,2:39.37,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Semifinals,1
2,9.20,2:29.763,3,10.71,2:33.634,1,9.44,2:29.562,5,14.99,3:15.541,0,,PEN,4,12.51,2:51.876,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,m,Semifinals,1
