START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
1,9.94,9.94,3,10.29,10.29,2,10.16,10.16,4,10.41,10.41,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Heats,5
1,13.07,23.01,3,13.02,23.31,2,13.00,23.16,4,13.08,23.49,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Heats,5
1,12.04,35.05,3,12.08,35.39,2,12.08,35.24,4,12.02,35.51,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Heats,5
1,11.29,46.34,3,11.27,46.66,2,11.25,46.49,4,11.30,46.81,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Heats,5
1,10.91,57.25,3,10.85,57.51,2,10.87,57.36,4,10.83,57.64,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Heats,5
1,10.82,1:08.07,3,10.77,1:08.28,2,10.79,1:08.15,4,10.76,1:08.40,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Heats,5
1,10.77,1:18.84,3,10.72,1:19.00,2,10.74,1:18.89,4,10.73,1:19.13,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Heats,5
2,10.06,1:28.90,3,10.05,1:29.05,1,9.91,1:28.80,4,10.04,1:29.17,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Heats,5
2,10.28,1:39.18,3,10.24,1:39.29,1,10.25,1:39.05,4,10.24,1:39.41,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Heats,5
2,10.10,1:49.28,3,10.11,1:49.40,1,10.14,1:49.19,4,10.05,1:49.46,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Heats,5
3,9.98,1:59.26,2,9.73,1:59.13,1,9.92,1:59.11,4,9.81,1:59.27,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Heats,5
4,10.00,2:09.26,1,9.34,2:08.47,2,9.68,2:08.79,3,9.60,2:08.87,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Heats,5
3,10.31,2:19.57,1,9.66,2:18.13,2,9.82,2:18.61,4,11.64,2:20.51,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Heats,5
3,10.65,2:30.22,1,10.10,2:28.23,2,9.98,2:28.59,4,11.78,2:32.29,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,w,Heats,5
