START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
4,8.414,8.414,3,8.370,8.370,2,8.176,8.176,5,8.485,8.485,1,8.036,8.036,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,4
4,11.356,19.771,3,11.135,19.505,1,10.855,19.031,5,11.300,19.785,2,11.310,19.346,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,4
4,10.015,29.786,3,10.162,29.667,1,10.258,29.289,5,10.200,29.985,2,10.094,29.439,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,4
4,9.835,39.621,3,9.744,39.411,1,9.893,39.182,5,9.754,39.739,2,9.832,39.272,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,4
4,9.872,49.493,3,9.963,49.374,1,9.951,49.133,5,9.859,49.598,2,10.006,49.278,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,4
4,10.141,59.633,3,10.131,59.504,1,10.081,59.214,5,10.068,59.666,2,10.029,59.307,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,4
4,10.213,1:09.847,3,10.194,1:09.699,1,10.163,1:09.377,5,10.287,1:09.953,2,10.192,1:09.499,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,4
4,10.352,1:20.199,3,10.206,1:19.905,1,10.278,1:19.655,5,10.338,1:20.291,2,10.270,1:19.769,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,4
4,10.284,1:30.483,2,10.002,1:29.907,3,10.297,1:29.952,5,10.331,1:30.622,1,10.078,1:29.847,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,4
4,10.451,1:40.934,3,10.440,1:40.347,2,10.363,1:40.315,5,10.400,1:41.022,1,10.351,1:40.198,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,4
5,10.757,1:51.691,2,10.529,1:50.877,3,10.566,1:50.881,4,10.180,1:51.202,1,10.464,1:50.662,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,4
5,11.287,2:02.978,2,10.056,2:00.933,3,10.258,2:01.138,4,10.350,2:01.552,1,10.250,2:00.912,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,4
5,11.514,2:14.492,1,9.663,2:10.596,3,9.845,2:10.984,4,11.033,2:12.585,2,10.031,2:10.943,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,4
5,11.359,2:25.851,1,10.221,2:20.816,3,10.312,2:21.296,4,11.368,2:23.953,2,10.209,2:21.152,2007-2008,"2008 ISU European Championships, Latvia",1500m,m,Heats,4
