START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
3,10.02,10.02,2,9.90,9.90,6,10.32,10.32,4,10.06,10.06,1,9.76,9.76,5,10.12,10.12,7,10.50,10.50,8,10.69,10.69,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Semifinals,1
4,12.44,22.46,3,12.48,22.38,6,12.44,22.76,2,12.30,22.36,1,12.51,22.27,5,12.50,22.62,7,12.28,22.78,8,12.30,22.99,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Semifinals,1
5,11.35,33.81,3,11.33,33.71,4,11.02,33.78,1,11.19,33.55,2,11.35,33.62,6,11.20,33.82,7,11.10,33.88,8,10.95,33.94,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Semifinals,1
5,10.38,44.19,2,10.39,44.10,1,10.25,44.03,3,10.57,44.12,4,10.53,44.15,6,10.47,44.29,8,10.60,44.48,7,10.51,44.45,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Semifinals,1
2,10.13,54.32,1,10.14,54.24,3,10.45,54.48,4,10.42,54.54,5,10.47,54.62,6,10.41,54.70,7,10.31,54.79,8,10.49,54.94,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Semifinals,1
2,10.59,1:04.91,1,10.58,1:04.82,4,10.55,1:05.03,3,10.42,1:04.96,5,10.43,1:05.05,7,10.55,1:05.25,6,10.39,1:05.18,8,10.53,1:05.47,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Semifinals,1
4,10.12,1:15.03,2,9.96,1:14.78,6,10.22,1:15.25,1,9.74,1:14.70,3,9.84,1:14.89,6,10.00,1:15.25,5,9.92,1:15.10,8,10.06,1:15.53,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Semifinals,1
4,10.17,1:25.20,2,10.30,1:25.08,7,10.25,1:25.50,1,10.27,1:24.97,3,10.27,1:25.16,5,10.10,1:25.35,6,10.31,1:25.41,8,10.14,1:25.67,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Semifinals,1
5,10.57,1:35.77,2,10.32,1:35.40,7,10.54,1:36.04,1,10.31,1:35.28,3,10.32,1:35.48,4,10.25,1:35.60,6,10.47,1:35.88,8,10.70,1:36.37,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Semifinals,1
6,10.16,1:45.93,2,10.08,1:45.48,7,10.12,1:46.16,1,10.05,1:45.33,3,10.08,1:45.56,4,10.08,1:45.68,5,9.92,1:45.80,8,10.60,1:46.97,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Semifinals,1
6,10.30,1:56.23,1,9.52,1:55.00,7,10.10,1:56.26,2,9.85,1:55.18,3,9.70,1:55.26,4,9.71,1:55.39,5,9.77,1:55.57,8,11.12,1:58.09,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Semifinals,1
7,10.74,2:06.97,1,9.70,2:04.70,6,10.18,2:06.44,2,9.73,2:04.91,3,9.73,2:04.99,4,9.72,2:05.11,5,9.75,2:05.32,8,11.61,2:09.70,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Semifinals,1
7,10.90,2:17.87,1,9.95,2:14.65,6,10.52,2:16.96,2,9.98,2:14.89,3,10.00,2:14.99,4,9.94,2:15.05,5,10.18,2:15.50,8,11.88,2:21.58,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Semifinals,1
7,11.85,2:29.704,1,10.07,2:24.72,6,10.99,2:27.930,0,,PHOTO,4,10.17,2:25.16,0,,PHOTO,5,11.17,2:26.655,8,12.31,2:33.867,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Semifinals,1
