START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
3,10.05,10.05,5,10.15,10.15,4,10.10,10.10,7,10.38,10.38,1,9.95,9.95,1,9.95,9.95,6,10.25,10.25,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,3
4,13.79,23.84,6,13.84,23.99,2,13.48,23.58,7,13.74,24.12,1,13.48,23.43,3,13.77,23.72,5,13.61,23.86,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,3
3,12.34,36.18,5,12.30,36.29,2,12.46,36.04,7,12.49,36.61,1,12.42,35.85,4,12.55,36.27,6,12.60,36.46,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,3
3,10.37,46.55,4,10.38,46.67,2,10.39,46.43,7,10.43,47.04,1,10.48,46.33,5,10.54,46.81,6,10.44,46.90,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,3
3,10.00,56.55,4,10.04,56.71,2,10.04,56.47,7,10.07,57.11,1,10.04,56.37,5,10.04,56.85,6,10.02,56.92,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,3
3,9.95,1:06.50,4,9.90,1:06.61,2,9.93,1:06.40,7,9.93,1:07.04,1,9.90,1:06.27,6,9.99,1:06.84,5,9.79,1:06.71,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,3
3,9.94,1:16.44,5,10.09,1:16.70,2,9.98,1:16.38,7,10.00,1:17.04,1,10.00,1:16.27,6,9.97,1:16.81,4,9.84,1:16.55,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,3
1,10.00,1:26.44,5,10.12,1:26.82,4,10.26,1:26.64,7,10.13,1:27.17,2,10.27,1:26.54,6,10.18,1:26.99,3,10.04,1:26.59,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,3
1,9.76,1:36.20,3,10.34,1:37.16,5,10.70,1:37.34,7,10.27,1:37.44,3,10.62,1:37.16,5,10.35,1:37.34,2,9.77,1:36.36,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,3
1,10.35,1:46.55,3,10.04,1:47.20,7,11.03,1:48.37,6,10.61,1:48.05,5,10.70,1:47.86,4,10.06,1:47.40,2,10.28,1:46.64,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,3
1,10.42,1:56.97,3,10.38,1:57.58,7,11.32,1:59.69,6,10.90,1:58.95,5,11.05,1:58.91,4,10.49,1:57.89,2,10.45,1:57.09,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,3
1,10.33,2:07.30,3,10.53,2:08.11,7,11.92,2:11.61,5,11.33,2:10.28,6,11.65,2:10.56,4,11.26,2:09.15,2,10.33,2:07.42,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,3
1,10.66,2:17.96,3,10.95,2:19.06,7,12.12,2:23.73,5,11.75,2:22.03,6,11.61,2:22.17,4,11.77,2:20.92,2,11.15,2:18.57,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,3
1,11.10,2:29.062,3,11.37,2:30.434,7,12.22,2:35.959,6,11.58,2:33.611,5,11.16,2:33.335,4,12.13,2:33.058,2,11.41,2:29.984,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,3
