START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,8.65,8.65,2,8.79,8.79,3,8.84,8.84,4,8.92,8.92,5,9.02,9.02,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,4
2,11.34,19.99,3,11.36,20.15,1,10.98,19.82,4,11.32,20.24,5,11.32,20.34,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,4
2,10.47,30.46,3,10.44,30.59,1,10.56,30.38,4,10.45,30.69,5,10.44,30.78,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,4
2,11.30,41.76,3,11.30,41.89,1,11.30,41.68,4,11.28,41.97,5,11.28,42.06,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,4
2,11.64,53.40,3,11.64,53.53,1,11.61,53.29,4,11.68,53.65,5,11.69,53.75,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,4
2,11.51,1:04.91,3,11.52,1:05.05,1,11.50,1:04.79,4,11.50,1:05.15,5,11.47,1:05.22,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,4
2,11.24,1:16.15,3,11.23,1:16.28,1,11.27,1:16.06,4,11.24,1:16.39,5,11.28,1:16.50,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,4
1,10.28,1:26.43,4,10.37,1:26.65,2,10.49,1:26.55,3,10.22,1:26.61,5,10.29,1:26.79,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,4
1,9.97,1:36.40,4,10.04,1:36.69,3,10.02,1:36.57,2,9.87,1:36.48,5,10.01,1:36.80,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,4
1,10.12,1:46.52,4,10.14,1:46.83,3,10.14,1:46.71,2,10.13,1:46.61,5,10.20,1:47.00,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,4
1,10.27,1:56.79,3,10.12,1:56.95,4,10.27,1:56.98,2,10.26,1:56.87,5,10.19,1:57.19,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,4
2,10.35,2:07.14,1,9.67,2:06.62,4,10.35,2:07.33,3,10.30,2:07.17,5,10.23,2:07.42,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,4
2,10.56,2:17.70,1,9.77,2:16.39,5,10.65,2:17.98,3,10.65,2:17.82,4,10.46,2:17.88,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,4
2,10.71,2:28.409,1,10.51,2:26.896,5,10.79,2:28.769,3,10.67,2:28.490,4,10.69,2:28.563,2011-2012,"2012 ISU European Championships, CZE, Mlada Boleslav",1500m,w,Heats,4
