START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,9.01,9.01,5,9.21,9.21,6,9.34,9.34,1,8.85,8.85,4,9.07,9.07,2,8.98,8.98,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Semifinals,1
3,13.02,22.03,5,13.13,22.34,6,13.18,22.52,2,13.06,21.91,4,13.13,22.20,1,12.85,21.83,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Semifinals,1
3,13.17,35.20,4,12.95,35.29,6,12.96,35.48,2,13.14,35.05,5,13.10,35.30,1,13.09,34.92,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Semifinals,1
3,13.44,48.64,5,13.53,48.82,6,13.51,48.99,2,13.43,48.48,4,13.46,48.76,1,13.46,48.38,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Semifinals,1
3,12.01,1:00.65,5,12.24,1:01.06,6,12.22,1:01.21,1,11.89,1:00.37,4,12.15,1:00.91,2,12.15,1:00.53,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Semifinals,1
4,10.53,1:11.18,5,10.19,1:11.25,6,10.26,1:11.47,2,10.73,1:11.10,3,10.24,1:11.15,1,10.48,1:11.01,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Semifinals,1
5,10.35,1:21.53,2,10.01,1:21.26,6,10.22,1:21.69,4,10.33,1:21.43,1,10.03,1:21.18,3,10.34,1:21.35,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Semifinals,1
5,10.66,1:32.19,2,10.67,1:31.93,6,10.57,1:32.26,4,10.68,1:32.11,1,10.68,1:31.86,3,10.66,1:32.01,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Semifinals,1
5,10.11,1:42.30,1,10.00,1:41.93,3,9.84,1:42.10,6,10.27,1:42.38,2,10.17,1:42.03,4,10.18,1:42.19,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Semifinals,1
5,9.56,1:51.86,1,9.54,1:51.47,3,9.57,1:51.67,6,9.60,1:51.98,2,9.52,1:51.55,4,9.56,1:51.75,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Semifinals,1
5,9.53,2:01.39,1,9.66,2:01.13,3,9.58,2:01.25,6,9.57,2:01.55,2,9.60,2:01.15,4,9.51,2:01.26,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Semifinals,1
5,9.33,2:10.72,2,9.20,2:10.33,3,9.19,2:10.44,6,9.38,2:10.93,1,9.04,2:10.19,4,9.20,2:10.46,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Semifinals,1
5,9.43,2:20.15,2,9.04,2:19.37,4,9.45,2:19.89,6,9.53,2:20.46,1,9.08,2:19.27,3,9.43,2:19.89,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Semifinals,1
4,9.67,2:29.816,2,9.21,2:28.581,3,9.73,2:29.615,5,9.67,2:30.122,1,9.28,2:28.545,6,11.01,2:30.893,2014-2015,"ISU World Cup 2014/15 - Salt Lake City, UT (USA)",1500m,w,Semifinals,1
