START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,9.100,9.100,1,8.560,8.560,3,9.060,9.060,5,9.280,9.280,6,9.500,9.500,2,8.830,8.830,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,RepQuarterfinals,5
1,11.110,20.220,2,11.840,20.400,3,11.480,20.540,5,11.520,20.810,6,11.460,20.960,4,11.720,20.560,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,RepQuarterfinals,5
1,10.830,31.050,2,10.750,31.160,4,10.840,31.390,5,10.800,31.610,6,10.780,31.750,3,10.700,31.260,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,RepQuarterfinals,5
1,10.160,41.210,2,10.400,41.560,4,10.410,41.810,5,10.320,41.930,6,10.260,42.010,3,10.420,41.680,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,RepQuarterfinals,5
1,10.160,51.380,2,10.020,51.590,4,10.050,51.870,6,10.080,52.020,5,9.950,51.970,3,9.990,51.670,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,RepQuarterfinals,5
1,9.990,1:01.370,2,10.080,1:01.670,3,9.850,1:01.720,6,9.970,1:02.000,5,10.020,1:01.990,4,10.160,1:01.830,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,RepQuarterfinals,5
1,9.920,1:11.300,4,9.970,1:11.640,2,9.670,1:11.390,6,10.020,1:12.030,3,9.600,1:11.600,5,9.930,1:11.770,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,RepQuarterfinals,5
1,9.910,1:21.210,3,9.800,1:21.450,2,9.930,1:21.330,6,10.200,1:22.230,4,9.880,1:21.480,5,9.720,1:21.500,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,RepQuarterfinals,5
1,10.010,1:31.230,4,9.930,1:31.380,2,9.910,1:31.250,6,10.420,1:32.660,3,9.850,1:31.340,5,10.030,1:31.530,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,RepQuarterfinals,5
1,10.160,1:41.400,4,10.240,1:41.630,3,10.230,1:41.490,6,10.700,1:43.360,2,10.140,1:41.480,5,10.100,1:41.640,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,RepQuarterfinals,5
3,10.280,1:51.680,5,10.300,1:51.930,1,10.100,1:51.590,6,11.060,1:54.420,2,10.180,1:51.670,4,10.060,1:51.710,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,RepQuarterfinals,5
5,10.900,2:02.580,4,10.380,2:02.310,1,9.990,2:01.590,6,11.510,2:05.930,2,9.940,2:01.610,3,9.990,2:01.700,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,RepQuarterfinals,5
5,10.880,2:13.460,4,10.570,2:12.890,2,10.270,2:11.860,6,11.880,2:17.810,1,10.060,2:11.680,3,10.160,2:11.870,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,RepQuarterfinals,5
5,11.480,2:24.940,4,10.950,2:23.850,2,10.300,2:22.160,6,12.070,2:29.890,1,10.390,2:22.070,3,10.520,2:22.390,2007-2008,"Samsung ISU World Cup 2007/2008, Netherlands, Heerenveen",1500m,m,RepQuarterfinals,5
