START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,9.94,9.94,2,10.09,10.09,4,10.23,10.23,3,10.18,10.18,5,10.34,10.34,6,10.48,10.48,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Preliminaries,7
3,12.65,22.59,4,12.63,22.72,5,12.64,22.87,1,12.20,22.38,2,12.13,22.47,6,12.49,22.97,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Preliminaries,7
3,10.96,33.55,4,10.97,33.69,5,10.94,33.81,1,10.92,33.30,2,10.93,33.40,6,11.00,33.97,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Preliminaries,7
3,10.33,43.88,4,10.27,43.96,5,10.26,44.07,1,10.35,43.65,2,10.35,43.75,6,10.23,44.20,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Preliminaries,7
3,10.26,54.14,4,10.29,54.25,5,10.31,54.38,2,10.33,53.98,1,10.18,53.93,6,10.31,54.51,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Preliminaries,7
2,10.16,1:04.30,3,10.15,1:04.40,5,10.18,1:04.56,4,10.57,1:04.55,1,10.25,1:04.18,6,10.14,1:04.65,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Preliminaries,7
2,10.12,1:14.42,3,10.04,1:14.44,4,10.02,1:14.58,6,10.24,1:14.79,1,10.10,1:14.28,5,10.00,1:14.65,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Preliminaries,7
3,9.38,1:23.80,1,9.00,1:23.44,4,9.34,1:23.92,6,9.60,1:24.39,2,9.26,1:23.54,5,9.47,1:24.12,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Preliminaries,7
3,8.97,1:32.77,2,9.12,1:32.56,4,8.99,1:32.91,6,9.76,1:34.15,1,9.01,1:32.55,5,9.26,1:33.38,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Preliminaries,7
3,9.08,1:41.85,1,9.06,1:41.62,4,9.03,1:41.94,6,10.28,1:44.43,2,9.13,1:41.68,5,9.55,1:42.93,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Preliminaries,7
3,9.27,1:51.12,2,9.25,1:50.87,4,9.31,1:51.25,6,10.81,1:55.24,1,9.11,1:50.79,5,9.82,1:52.75,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Preliminaries,7
2,8.97,2:00.09,3,9.24,2:00.11,4,9.13,2:00.38,6,11.42,2:06.66,1,9.21,2:00.00,5,10.28,2:03.03,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Preliminaries,7
1,9.15,2:09.24,4,9.60,2:09.71,3,9.03,2:09.41,6,11.52,2:18.18,2,9.37,2:09.37,5,10.92,2:13.95,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Preliminaries,7
1,9.23,2:18.469,4,10.34,2:20.047,2,9.38,2:18.789,6,11.48,2:29.655,3,9.50,2:18.869,5,11.65,2:25.592,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Preliminaries,7
