START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,10.47,10.47,3,10.58,10.58,4,10.69,10.69,5,10.77,10.77,6,10.94,10.94,2,10.54,10.54,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,6
1,15.92,26.39,2,15.90,26.48,3,15.89,26.58,5,16.11,26.88,6,16.09,27.03,4,16.24,26.78,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,6
1,15.47,41.86,2,15.48,41.96,3,15.51,42.09,5,15.57,42.45,6,15.57,42.60,4,15.49,42.27,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,6
1,15.36,57.22,2,15.34,57.30,3,15.24,57.33,5,15.05,57.50,6,15.12,57.72,3,15.06,57.33,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,6
3,11.76,1:08.98,4,11.84,1:09.14,1,11.50,1:08.83,5,11.75,1:09.25,6,11.72,1:09.44,2,11.52,1:08.85,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,6
3,9.94,1:18.92,4,9.94,1:19.08,1,9.81,1:18.64,5,9.91,1:19.16,6,9.88,1:19.32,2,9.95,1:18.80,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,6
4,10.34,1:29.26,3,10.14,1:29.22,1,10.46,1:29.10,5,10.17,1:29.33,6,10.08,1:29.40,2,10.37,1:29.17,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,6
3,10.69,1:39.95,2,10.64,1:39.86,1,10.69,1:39.79,5,10.79,1:40.12,6,10.88,1:40.28,3,10.78,1:39.95,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,6
1,9.76,1:49.71,3,10.08,1:49.94,2,10.03,1:49.82,5,10.07,1:50.19,6,10.14,1:50.42,4,10.13,1:50.08,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,6
1,10.02,1:59.73,3,10.03,1:59.97,2,9.98,1:59.80,4,9.89,2:00.08,6,9.96,2:00.38,5,10.01,2:00.09,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,6
1,9.85,2:09.58,3,9.97,2:09.94,2,9.87,2:09.67,4,9.97,2:10.05,6,10.30,2:10.68,5,10.10,2:10.19,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,6
1,9.43,2:19.01,3,10.08,2:20.02,2,9.47,2:19.14,4,10.10,2:20.15,6,11.09,2:21.77,5,10.01,2:20.20,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,6
1,9.47,2:28.48,3,10.49,2:30.51,2,9.46,2:28.60,5,10.66,2:30.81,6,11.91,2:33.68,4,10.52,2:30.72,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,6
1,9.89,2:38.330,3,10.65,2:41.158,2,9.82,2:38.396,5,10.66,2:41.457,6,12.28,2:45.934,4,10.60,2:41.299,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,RankingFinals,6
