START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,9.605,9.605,3,9.771,9.771,4,9.828,9.828,5,10.036,10.036,1,9.200,9.200,2005-2006,"2006 World Championships, USA",1500M,w,Heats,1
1,11.075,20.680,4,11.308,21.078,3,11.220,21.047,5,11.101,21.137,2,11.622,20.822,2005-2006,"2006 World Championships, USA",1500M,w,Heats,1
1,11.360,32.039,3,11.033,32.111,5,11.422,32.469,4,11.163,32.300,2,11.248,32.069,2005-2006,"2006 World Championships, USA",1500M,w,Heats,1
4,12.709,44.748,2,12.537,44.647,5,12.285,44.754,1,12.284,44.584,3,12.672,44.741,2005-2006,"2006 World Championships, USA",1500M,w,Heats,1
5,11.136,55.883,2,10.924,55.571,4,11.123,55.876,1,10.840,55.423,3,10.967,55.707,2005-2006,"2006 World Championships, USA",1500M,w,Heats,1
1,10.267,1:06.150,3,10.746,1:06.316,5,10.751,1:06.626,2,10.891,1:06.313,4,10.754,1:06.461,2005-2006,"2006 World Championships, USA",1500M,w,Heats,1
3,10.963,1:17.113,2,10.738,1:17.054,5,10.687,1:17.313,1,10.702,1:17.015,4,10.692,1:17.153,2005-2006,"2006 World Championships, USA",1500M,w,Heats,1
3,10.380,1:27.493,2,10.388,1:27.441,5,10.399,1:27.712,1,10.223,1:27.238,4,10.493,1:27.645,2005-2006,"2006 World Championships, USA",1500M,w,Heats,1
3,10.098,1:37.590,2,10.120,1:37.561,5,10.098,1:37.810,1,10.230,1:37.467,4,10.106,1:37.750,2005-2006,"2006 World Championships, USA",1500M,w,Heats,1
4,10.090,1:47.680,2,10.008,1:47.568,5,10.003,1:47.812,1,10.016,1:47.483,3,9.877,1:47.627,2005-2006,"2006 World Championships, USA",1500M,w,Heats,1
3,9.631,1:57.310,2,9.662,1:57.230,5,10.044,1:57.855,1,9.695,1:57.178,4,9.792,1:57.419,2005-2006,"2006 World Championships, USA",1500M,w,Heats,1
4,9.843,2:07.153,2,9.901,2:07.130,5,9.530,2:07.384,1,9.789,2:06.967,3,9.731,2:07.149,2005-2006,"2006 World Championships, USA",1500M,w,Heats,1
3,9.771,2:16.923,2,9.748,2:16.878,5,9.984,2:17.368,1,9.688,2:16.654,4,9.817,2:16.965,2005-2006,"2006 World Championships, USA",1500M,w,Heats,1
3,9.18,2:26.099,1,9.07,2:25.945,5,9.38,2:26.740,2,9.39,2:26.044,4,9.49,2:26.449,2005-2006,"2006 World Championships, USA",1500M,w,Heats,1
