START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,11.062,11.062,1,10.419,10.419,3,10.749,10.749,2,10.737,10.737,4,10.771,10.771,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,1
5,15.940,27.002,4,16.447,26.865,3,15.945,26.693,2,15.828,26.564,1,15.434,26.205,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,1
5,13.818,40.820,2,13.490,40.355,4,14.021,40.713,3,14.103,40.667,1,14.147,40.351,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,1
3,11.047,51.866,2,11.462,51.817,5,11.386,52.099,1,10.938,51.604,4,11.723,52.073,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,1
1,10.554,1:02.419,2,10.649,1:02.465,4,10.576,1:02.675,5,11.114,1:02.718,3,10.530,1:02.603,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,1
2,10.847,1:13.266,1,10.661,1:13.126,4,10.784,1:13.458,5,10.903,1:13.620,3,10.754,1:13.357,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,1
1,10.243,1:23.509,2,10.450,1:23.576,3,10.298,1:23.756,5,10.291,1:23.911,4,10.487,1:23.843,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,1
1,10.240,1:33.748,2,10.330,1:33.906,3,10.186,1:33.942,5,10.313,1:34.223,4,10.274,1:34.117,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,1
1,10.564,1:44.312,2,10.435,1:44.340,3,10.416,1:44.357,4,10.312,1:44.535,5,10.478,1:44.595,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,1
3,10.353,1:54.665,1,10.043,1:54.383,2,10.205,1:54.562,5,10.694,1:55.229,4,10.449,1:55.044,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,1
2,10.045,2:04.710,1,10.067,2:04.450,3,10.339,2:04.900,5,10.317,2:05.546,4,10.152,2:05.195,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,1
2,10.159,2:14.868,1,10.148,2:14.598,3,10.017,2:14.917,5,10.458,2:16.004,4,10.619,2:15.813,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,1
1,9.885,2:24.752,2,10.225,2:24.823,3,10.150,2:25.066,4,10.693,2:26.697,5,10.889,2:26.702,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,1
2,10.32,2:35.065,1,10.11,2:34.932,3,10.10,2:35.166,4,10.92,2:37.609,0,,DQ,2003-2004,"2003 World Cup 4, China, Beijing",1500M,w,SemiFinals,1
