START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
0,16.728,16.728,0,16.638,16.638,0,16.461,16.461,0,16.413,16.413,0,17.573,17.573,0,17.191,17.191,0,,,0,17.723,17.723,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,12.961,29.689,0,13.074,29.712,0,13.251,29.712,0,13.717,30.130,0,13.035,30.608,0,13.023,30.214,0,,31.105,0,12.893,30.616,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,13.378,43.068,0,13.193,42.905,0,13.144,42.856,0,12.991,43.121,0,13.077,43.686,0,13.313,43.526,0,12.785,43.890,0,13.144,43.760,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,13.326,56.394,0,13.361,56.266,0,13.345,56.201,0,13.293,56.414,0,13.196,56.882,0,,,0,13.377,57.267,0,13.272,57.032,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,13.600,1:09.994,0,13.598,1:09.865,0,13.543,1:09.744,0,13.328,1:09.742,0,13.684,1:10.566,0,,1:10.230,0,13.851,1:11.117,0,13.612,1:10.645,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,13.070,1:23.065,0,13.100,1:22.964,0,13.031,1:22.775,0,13.126,1:22.868,0,13.126,1:23.692,0,13.214,1:23.443,0,13.482,1:24.599,0,13.336,1:23.981,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,12.673,1:35.738,0,12.776,1:35.740,0,12.955,1:35.730,0,13.418,1:36.286,0,12.864,1:36.556,0,12.769,1:36.212,0,12.220,1:36.820,0,12.486,1:36.467,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,13.617,1:49.354,0,13.110,1:48.850,0,13.255,1:48.985,0,13.020,1:49.306,0,13.236,1:49.791,0,13.274,1:49.486,0,,,0,13.333,1:49.800,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,12.596,2:01.951,0,12.800,2:01.650,0,12.716,2:01.701,0,12.726,2:02.032,0,12.810,2:02.601,0,12.748,2:02.235,0,,,0,12.865,2:02.665,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,12.555,2:14.506,0,12.472,2:14.122,0,12.723,2:14.424,0,12.547,2:14.579,0,12.411,2:15.012,0,12.532,2:14.767,0,,2:27.704,0,12.355,2:15.021,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,12.201,2:26.707,0,12.118,2:26.239,0,12.118,2:26.542,0,12.948,2:27.527,0,12.379,2:27.391,0,12.214,2:26.981,0,,,0,12.788,2:27.809,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,11.680,2:38.387,0,11.940,2:38.179,0,11.757,2:38.299,0,10.806,2:38.333,0,11.522,2:38.913,0,11.652,2:38.633,0,,2:39.425,0,11.243,2:39.052,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,12.259,2:50.646,0,12.188,2:50.366,0,12.121,2:50.420,0,12.143,2:50.476,0,12.336,2:51.248,0,12.300,2:50.933,0,12.138,2:51.564,0,12.172,2:51.224,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,12.474,3:03.120,0,12.610,3:02.976,0,12.527,3:02.947,0,12.873,3:03.349,0,12.403,3:03.651,0,12.414,3:03.347,0,12.420,3:03.984,0,12.231,3:03.455,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,12.264,3:15.383,0,12.975,3:15.951,0,12.973,3:15.919,0,12.982,3:16.331,0,12.933,3:16.584,0,12.997,3:16.344,0,12.810,3:16.794,0,13.269,3:16.724,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,11.972,3:27.355,0,11.403,3:27.354,0,11.593,3:27.512,0,10.630,3:26.961,0,11.368,3:27.953,0,11.141,3:27.485,0,11.076,3:27.871,0,11.290,3:28.014,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,11.122,3:38.478,0,11.220,3:38.574,0,11.361,3:38.874,0,11.441,3:38.402,0,11.372,3:39.324,0,11.357,3:38.841,0,11.382,3:39.253,0,10.946,3:38.960,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,10.724,3:49.202,0,10.387,3:48.961,0,10.261,3:49.135,0,10.091,3:48.493,0,10.503,3:49.827,0,10.578,3:49.419,0,10.660,3:49.913,0,10.318,3:49.277,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,9.388,3:58.589,0,9.885,3:58.846,0,9.903,3:59.037,0,10.022,3:58.514,0,9.741,3:59.568,0,9.712,3:59.131,0,9.889,3:59.802,0,9.972,3:59.250,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,9.781,4:08.371,0,9.724,4:08.569,0,9.663,4:08.700,0,9.746,4:08.261,0,9.569,4:09.137,0,9.626,4:08.756,0,9.354,4:09.156,0,9.687,4:08.937,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,9.507,4:17.877,0,9.635,4:18.204,0,9.276,4:17.976,0,9.376,4:17.637,0,9.402,4:18.539,0,9.238,4:17.995,0,9.294,4:18.449,0,9.318,4:18.255,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,9.507,4:27.384,0,9.545,4:27.749,0,9.706,4:27.682,0,9.904,4:27.541,0,9.238,4:27.777,0,10.036,4:28.031,0,9.549,4:27.998,0,9.784,4:28.038,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
0,9.357,4:36.742,0,9.274,4:37.022,0,9.504,4:37.187,0,9.927,4:37.468,0,9.249,4:37.026,0,18.699,4:46.730,0,8.888,4:36.886,0,9.538,4:37.576,2006-2007,"23rd Winter Universade, Italy, Torino",3000m,m,SemiFinals,1
