START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,8.28,8.28,4,8.76,8.76,3,8.57,8.57,5,8.88,8.88,2,8.38,8.38,6,9.14,9.14,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,2
1,11.35,19.63,4,11.10,19.86,3,11.28,19.85,5,11.17,20.05,2,11.35,19.73,6,11.05,20.19,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,2
1,10.78,30.41,4,10.91,30.77,3,10.82,30.67,5,10.81,30.86,2,10.77,30.50,6,10.81,31.00,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,2
1,10.76,41.17,4,10.73,41.50,3,10.73,41.40,5,10.76,41.62,2,10.77,41.27,6,10.73,41.73,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,2
1,10.84,52.01,4,10.87,52.37,3,10.88,52.28,5,10.84,52.46,2,10.82,52.09,6,10.84,52.57,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,2
1,10.78,1:02.79,4,10.74,1:03.11,3,10.74,1:03.02,5,10.73,1:03.19,2,10.79,1:02.88,6,10.72,1:03.29,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,2
1,10.57,1:13.36,4,10.58,1:13.69,3,10.58,1:13.60,5,10.63,1:13.82,2,10.57,1:13.45,6,10.63,1:13.92,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,2
1,10.24,1:23.60,4,10.27,1:23.96,3,10.25,1:23.85,5,10.22,1:24.04,2,10.24,1:23.69,6,10.25,1:24.17,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,2
1,10.00,1:33.60,4,9.95,1:33.91,3,9.97,1:33.82,5,9.97,1:34.01,2,9.99,1:33.68,6,9.97,1:34.14,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,2
1,10.01,1:43.61,4,10.00,1:43.91,3,10.01,1:43.83,5,9.98,1:43.99,2,10.02,1:43.70,6,10.04,1:44.18,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,2
2,10.08,1:53.69,4,10.04,1:53.95,3,10.00,1:53.83,5,10.00,1:53.99,1,9.96,1:53.66,6,10.10,1:54.28,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,2
3,10.20,2:03.89,5,10.12,2:04.07,2,9.81,2:03.64,4,9.97,2:03.96,1,9.52,2:03.18,6,10.27,2:04.55,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,2
3,10.46,2:14.35,5,10.35,2:14.42,2,9.96,2:13.60,3,10.39,2:14.35,1,9.57,2:12.75,6,10.66,2:15.21,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,2
5,11.14,2:25.49,4,10.64,2:25.06,2,10.53,2:24.13,3,10.21,2:24.56,1,9.83,2:22.58,6,11.01,2:26.22,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,w,Heats,2
