START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
1,9.45,9.45,6,9.95,,4,9.76,,3,9.69,9.69,7,10.26,10.26,2,9.61,9.61,5,9.92,9.92,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Heats,4
1,12.67,22.12,6,12.67,,5,12.72,,2,12.52,22.21,7,12.52,22.78,4,12.78,22.39,3,12.37,22.29,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Heats,4
1,11.76,33.88,6,11.82,,4,11.64,,2,11.81,34.02,7,11.83,34.61,3,11.71,34.10,4,11.83,34.12,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Heats,4
2,10.78,44.66,6,10.54,,1,10.43,,4,10.85,44.87,7,10.68,45.29,3,10.68,44.78,5,10.85,44.97,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Heats,4
3,10.65,55.31,6,10.67,,1,10.65,,2,10.40,55.27,7,10.46,55.75,4,10.63,55.41,5,10.54,55.51,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Heats,4
2,9.98,1:05.29,6,10.03,,3,10.17,,1,9.96,1:05.23,7,10.07,1:05.82,4,10.06,1:05.47,5,10.05,1:05.56,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Heats,4
2,10.24,1:15.53,5,10.16,,3,10.26,,1,10.19,1:15.42,6,10.13,1:15.95,4,10.27,1:15.74,7,10.71,1:16.27,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Heats,4
2,10.21,1:25.74,5,10.17,,3,10.20,,1,10.24,1:25.66,6,10.17,1:26.12,4,10.19,1:25.93,7,9.95,1:26.22,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Heats,4
1,10.18,1:35.92,5,10.26,,3,10.20,,2,10.28,1:35.94,6,10.27,1:36.39,4,10.23,1:36.16,7,10.29,1:36.51,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Heats,4
1,9.71,1:45.63,4,9.70,,2,9.76,,3,9.93,1:45.87,6,9.72,1:46.11,5,9.92,1:46.08,7,9.66,1:46.17,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Heats,4
1,9.73,1:55.36,5,9.69,,2,9.68,,2,9.60,1:55.47,4,9.50,1:55.61,6,9.73,1:55.81,7,9.76,1:55.93,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Heats,4
1,9.54,2:04.90,3,9.62,,7,11.13,,6,10.69,2:06.16,2,9.51,2:05.12,4,9.66,2:05.47,5,9.66,2:05.59,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Heats,4
1,9.58,2:14.48,3,9.40,,7,10.83,,6,10.87,2:17.03,2,9.44,2:14.56,4,9.63,2:15.10,5,9.76,2:15.35,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Heats,4
1,9.62,2:24.10,3,9.70,,6,11.28,,7,11.93,2:28.96,2,9.61,2:24.17,3,9.89,2:24.990,4,9.83,2:25.183,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Heats,4
