START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,12.40,12.40,4,13.21,13.21,2,12.60,12.60,3,12.95,12.95,5,13.40,13.40,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Semifinals,1
1,16.28,28.68,4,16.09,29.30,2,16.23,28.83,3,16.16,29.11,5,16.01,29.41,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Semifinals,1
1,15.09,43.77,4,15.01,44.31,2,15.09,43.92,3,15.00,44.11,5,15.02,44.43,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Semifinals,1
1,14.47,58.24,4,14.38,58.69,2,14.46,58.38,3,14.43,58.54,5,14.38,58.81,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Semifinals,1
1,14.21,1:12.45,4,14.31,1:13.00,2,14.21,1:12.59,3,14.26,1:12.80,5,14.31,1:13.12,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Semifinals,1
1,13.52,1:25.97,4,13.40,1:26.40,2,13.52,1:26.11,3,13.49,1:26.29,5,13.45,1:26.57,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Semifinals,1
1,12.84,1:38.81,4,12.89,1:39.29,2,12.82,1:38.93,3,12.84,1:39.13,5,12.83,1:39.40,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Semifinals,1
3,11.39,1:50.20,5,11.15,1:50.44,4,11.38,1:50.31,2,10.96,1:50.09,1,10.54,1:49.94,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Semifinals,1
3,9.76,1:59.96,5,9.75,2:00.19,4,9.74,2:00.05,2,9.82,1:59.91,1,9.86,1:59.80,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Semifinals,1
1,9.16,2:09.12,5,9.29,2:09.48,4,9.31,2:09.36,3,9.39,2:09.30,2,9.40,2:09.20,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Semifinals,1
1,9.17,2:18.29,5,9.18,2:18.66,3,9.07,2:18.43,4,9.19,2:18.49,2,9.18,2:18.38,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Semifinals,1
1,9.28,2:27.57,4,9.21,2:27.87,2,9.22,2:27.65,3,9.30,2:27.79,5,9.53,2:27.91,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Semifinals,1
1,9.40,2:36.97,3,9.27,2:37.14,2,9.44,2:37.09,4,9.44,2:37.23,5,9.69,2:37.60,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Semifinals,1
1,9.68,2:46.65,3,9.72,2:46.86,2,9.68,2:46.77,4,9.76,2:46.99,5,9.89,2:47.492,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Semifinals,1
