START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,10.03,10.03,1,9.61,9.61,6,10.26,10.26,5,10.08,10.08,3,9.87,9.87,2,9.74,9.74,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,2
5,11.58,21.62,4,11.80,21.41,6,11.48,21.74,3,11.27,21.36,1,11.28,21.16,2,11.56,21.31,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,2
5,10.58,32.20,3,10.63,32.05,6,10.69,32.43,2,10.60,31.96,1,10.73,31.89,4,10.85,32.16,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,2
6,10.86,43.07,4,10.77,42.82,5,10.57,43.01,2,10.74,42.70,1,10.64,42.53,3,10.65,42.82,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,2
6,10.43,53.50,3,10.46,53.29,5,10.42,53.43,4,10.61,53.32,1,10.53,53.06,2,10.35,53.18,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,2
5,10.63,1:04.14,2,10.66,1:03.95,6,10.77,1:04.21,3,10.64,1:03.96,1,10.71,1:03.78,4,10.82,1:04.00,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,2
5,9.74,1:13.88,4,9.91,1:13.87,6,9.95,1:14.17,2,9.86,1:13.82,1,9.93,1:13.71,3,9.85,1:13.86,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,2
6,9.80,1:23.69,3,9.43,1:23.30,5,9.44,1:23.61,2,9.47,1:23.30,1,9.42,1:23.13,4,9.58,1:23.44,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,2
5,9.37,1:33.06,4,9.51,1:32.82,6,9.48,1:33.09,2,9.45,1:32.75,1,9.46,1:32.60,3,9.31,1:32.75,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,2
6,9.35,1:42.42,3,9.31,1:42.14,5,9.31,1:42.41,2,9.37,1:42.12,1,9.39,1:41.99,4,9.46,1:42.22,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,2
6,9.30,1:51.72,1,9.13,1:51.28,5,9.29,1:51.71,4,9.47,1:51.60,2,9.31,1:51.31,3,9.37,1:51.59,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,2
6,9.72,2:01.45,1,8.84,2:00.12,5,9.62,2:01.33,4,9.64,2:01.25,2,9.26,2:00.57,3,9.59,2:01.19,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,2
6,10.68,2:12.14,1,9.43,2:09.56,5,10.13,2:11.47,3,10.03,2:11.28,2,9.59,2:10.16,4,10.14,2:11.34,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,2
5,10.79,2:22.925,1,9.97,2:19.524,3,10.24,2:21.706,4,10.99,2:22.264,2,10.23,2:20.387,0,,DQ,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,2
