START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,9.12,9.12,2,8.75,8.75,1,8.64,8.64,4,9.27,9.27,5,9.40,9.40,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,1
3,11.78,20.90,2,12.01,20.76,1,12.02,20.66,4,11.75,21.02,5,11.73,21.13,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,1
3,11.75,32.65,2,11.77,32.53,1,11.78,32.44,4,11.73,32.75,5,11.71,32.84,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,1
3,11.94,44.59,2,11.94,44.47,1,11.92,44.36,4,11.93,44.68,5,11.96,44.80,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,1
3,11.95,56.54,2,11.90,56.37,1,11.92,56.28,4,11.98,56.66,5,11.97,56.77,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,1
3,11.78,1:08.32,2,11.80,1:08.17,1,11.75,1:08.03,4,11.79,1:08.45,5,11.77,1:08.54,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,1
3,11.21,1:19.53,2,11.25,1:19.42,1,11.30,1:19.33,4,11.20,1:19.65,5,11.24,1:19.78,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,1
3,10.80,1:30.33,2,10.89,1:30.31,1,10.96,1:30.29,4,10.80,1:30.45,5,10.84,1:30.62,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,1
1,10.09,1:40.42,2,10.48,1:40.79,4,22.04,1:52.33,5,30.19,2:00.64,3,10.43,1:41.05,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,1
1,10.38,1:50.80,2,10.50,1:51.29,4,12.77,2:05.10,5,16.32,2:16.96,3,10.47,1:51.52,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,1
1,10.49,2:01.29,2,10.66,2:01.95,4,12.21,2:17.31,5,13.67,2:30.63,3,10.54,2:02.06,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,1
1,10.67,2:11.96,2,10.88,2:12.83,4,12.31,2:29.62,5,13.37,2:44.00,3,10.93,2:12.99,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,1
1,11.05,2:23.01,2,11.25,2:24.08,4,12.26,2:41.88,5,12.97,2:56.97,3,11.19,2:24.18,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,1
1,11.53,2:34.544,2,11.61,2:35.695,4,12.32,2:54.203,5,12.58,3:09.55,3,11.58,2:35.766,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,w,RankingFinals,1
