START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,9.31,9.31,5,9.53,9.53,1,9.25,9.25,6,9.56,9.56,4,9.42,9.42,2,9.28,9.28,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Semifinals,1
5,12.29,21.60,1,11.82,21.35,2,12.19,21.44,6,12.22,21.78,4,12.18,21.60,3,12.25,21.53,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Semifinals,1
5,11.85,33.45,1,11.60,32.95,2,11.63,33.07,6,11.79,33.57,4,11.67,33.27,3,11.63,33.16,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Semifinals,1
3,11.54,44.99,1,11.78,44.73,2,11.80,44.87,6,11.57,45.14,5,11.85,45.12,4,11.84,45.00,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Semifinals,1
4,10.60,55.59,2,10.60,55.33,3,10.58,55.45,1,10.12,55.26,6,10.66,55.78,5,10.68,55.68,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Semifinals,1
4,10.06,1:05.65,2,10.13,1:05.46,3,10.11,1:05.56,1,10.09,1:05.35,6,10.04,1:05.82,5,10.06,1:05.74,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Semifinals,1
4,10.15,1:15.80,1,10.02,1:15.48,2,10.05,1:15.61,3,10.43,1:15.78,5,10.07,1:15.89,6,10.21,1:15.95,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Semifinals,1
3,9.83,1:25.63,1,9.90,1:25.38,2,9.88,1:25.49,5,9.98,1:25.76,4,9.85,1:25.74,6,9.82,1:25.77,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Semifinals,1
3,9.87,1:35.50,1,9.92,1:35.30,2,9.89,1:35.38,6,10.13,1:35.89,5,10.00,1:35.74,4,9.81,1:35.58,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Semifinals,1
3,9.92,1:45.42,1,9.90,1:45.20,2,9.91,1:45.29,6,9.95,1:45.84,5,9.90,1:45.64,4,9.94,1:45.52,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Semifinals,1
3,9.75,1:55.17,1,9.72,1:54.92,2,9.73,1:55.02,6,9.80,1:55.64,5,9.78,1:55.42,4,9.75,1:55.27,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Semifinals,1
3,9.54,2:04.71,1,9.56,2:04.48,2,9.60,2:04.62,6,10.11,2:05.75,5,9.53,2:04.95,4,9.59,2:04.86,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Semifinals,1
3,9.24,2:13.95,1,9.32,2:13.80,2,9.28,2:13.90,6,10.59,2:16.34,5,9.65,2:14.60,4,9.42,2:14.28,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Semifinals,1
2,9.20,2:23.148,1,9.24,2:23.032,3,9.38,2:23.276,6,11.25,2:27.583,5,10.16,2:24.755,4,9.53,2:23.807,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Semifinals,1
