START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,9.43,9.43,4,9.30,9.30,2,9.10,9.10,1,8.97,8.97,3,9.21,9.21,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepHeats,4
5,12.66,22.09,4,12.64,21.94,2,12.61,21.71,1,12.63,21.60,3,12.63,21.84,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepHeats,4
5,12.03,34.12,4,12.09,34.03,2,12.08,33.79,1,12.08,33.68,3,12.07,33.91,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepHeats,4
5,11.92,46.04,4,11.94,45.97,2,11.90,45.69,1,11.86,45.54,3,11.90,45.81,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepHeats,4
5,11.47,57.51,4,11.42,57.39,3,11.53,57.22,1,11.56,57.10,2,11.29,57.10,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepHeats,4
5,11.19,1:08.70,4,11.18,1:08.57,3,11.24,1:08.46,2,11.27,1:08.37,1,11.20,1:08.30,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepHeats,4
1,10.53,1:19.23,2,10.72,1:19.29,5,11.07,1:19.53,4,11.05,1:19.42,3,11.06,1:19.36,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepHeats,4
1,9.66,1:28.89,2,9.82,1:29.11,5,9.99,1:29.52,4,9.94,1:29.36,3,9.82,1:29.18,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepHeats,4
3,9.86,1:38.75,2,9.58,1:38.69,5,9.39,1:38.91,4,9.50,1:38.86,1,9.43,1:38.61,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepHeats,4
3,9.59,1:48.34,2,9.53,1:48.22,5,9.78,1:48.69,4,9.74,1:48.60,1,9.50,1:48.11,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepHeats,4
3,9.51,1:57.85,2,9.52,1:57.74,5,9.63,1:58.32,4,9.53,1:58.13,1,9.56,1:57.67,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepHeats,4
3,9.56,2:07.41,1,9.35,2:07.09,5,9.61,2:07.93,4,9.63,2:07.76,2,9.59,2:07.26,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepHeats,4
3,9.69,2:17.10,1,9.51,2:16.60,5,9.91,2:17.84,4,9.85,2:17.61,2,9.42,2:16.68,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepHeats,4
3,9.87,2:26.963,1,9.82,2:26.416,5,10.51,2:28.344,4,10.08,2:27.682,2,9.81,2:26.485,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,RepHeats,4
