START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,8.77,8.77,2,8.91,8.91,4,9.40,9.40,5,9.72,9.72,3,9.02,9.02,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,12
1,12.31,21.08,3,12.43,21.34,4,12.09,21.49,5,11.93,21.65,2,12.16,21.18,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,12
1,11.20,32.28,3,11.24,32.58,4,11.18,32.67,5,11.25,32.90,2,11.23,32.41,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,12
1,11.15,43.43,3,11.06,43.64,4,11.06,43.73,5,10.99,43.89,2,11.11,43.52,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,12
1,11.10,54.53,3,11.15,54.79,4,11.15,54.88,5,11.06,54.95,2,11.12,54.64,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,12
1,10.78,1:05.31,3,10.75,1:05.54,4,10.76,1:05.64,5,10.87,1:05.82,2,10.78,1:05.42,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,12
1,10.25,1:15.56,3,10.29,1:15.83,4,10.37,1:16.01,5,10.31,1:16.13,2,10.29,1:15.71,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,12
1,10.09,1:25.65,3,10.05,1:25.88,5,10.54,1:26.55,4,9.96,1:26.09,2,10.04,1:25.75,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,12
1,10.19,1:35.84,3,10.20,1:36.08,5,10.76,1:37.31,4,10.16,1:36.25,2,10.20,1:35.95,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,12
1,9.94,1:45.78,3,10.00,1:46.08,5,11.12,1:48.43,4,10.02,1:46.27,2,9.98,1:45.93,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,12
1,9.76,1:55.54,3,9.75,1:55.83,5,11.51,1:59.94,4,9.56,1:55.83,2,9.77,1:55.70,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,12
2,9.69,2:05.23,4,9.86,2:05.69,5,11.86,2:11.80,1,9.40,2:05.23,3,9.95,2:05.65,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,12
2,9.73,2:14.96,3,9.73,2:15.42,5,11.90,2:23.70,1,9.45,2:14.68,4,10.27,2:15.92,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,12
2,10.00,2:24.957,3,10.66,2:26.079,5,12.13,2:35.823,1,9.84,2:24.513,4,10.57,2:26.486,2013-2014,"ISU World Cup 2013/2014, Kolomna (RUS)",1500m,w,Heats,12
