START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
4,9.81,9.81,3,9.74,9.74,1,9.43,9.43,2,9.58,9.58,5,10.04,10.04,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,3
3,13.89,23.70,4,14.03,23.77,1,14.13,23.56,2,14.09,23.67,5,13.98,24.02,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,3
4,13.18,36.88,3,12.97,36.74,1,12.96,36.52,2,12.95,36.62,5,13.15,37.17,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,3
4,13.27,50.15,3,13.37,50.11,1,13.36,49.88,2,13.30,49.92,5,13.37,50.54,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,3
3,12.00,1:02.15,4,12.06,1:02.17,2,12.19,1:02.07,1,12.05,1:01.97,5,12.10,1:02.64,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,3
4,11.45,1:13.60,3,11.31,1:13.48,2,11.29,1:13.36,1,11.29,1:13.26,5,11.24,1:13.88,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,3
4,11.35,1:24.95,3,11.39,1:24.87,1,11.31,1:24.67,2,11.41,1:24.67,5,11.31,1:25.19,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,3
3,10.06,1:35.01,4,10.33,1:35.20,1,10.10,1:34.77,2,10.24,1:34.91,5,10.13,1:35.32,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,3
3,9.78,1:44.79,5,10.15,1:45.35,1,9.82,1:44.59,2,9.78,1:44.69,4,9.53,1:44.85,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,3
4,9.86,1:54.65,5,10.56,1:55.91,2,9.66,1:54.25,3,9.88,1:54.57,1,9.23,1:54.08,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,3
4,9.93,2:04.58,5,11.25,2:07.16,2,9.56,2:03.81,3,9.84,2:04.41,1,9.42,2:03.50,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,3
4,10.36,2:14.94,5,11.87,2:19.03,2,9.43,2:13.24,3,10.30,2:14.71,1,9.61,2:13.11,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,3
3,10.42,2:25.36,5,12.22,2:31.25,2,9.61,2:22.85,4,10.68,2:25.39,1,9.59,2:22.70,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,3
3,10.88,2:36.237,5,12.67,2:43.915,2,9.52,2:32.368,4,10.91,2:36.297,1,9.64,2:32.339,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,3
