START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,11.33,11.33,1,11.13,11.13,5,11.48,11.48,2,11.23,11.23,6,11.70,11.70,3,11.32,11.32,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Heats,2
3,17.79,29.12,2,17.90,29.03,5,17.88,29.36,4,17.92,29.15,6,17.94,29.64,1,17.47,28.79,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Heats,2
2,13.80,42.92,3,14.06,43.09,5,14.06,43.42,4,14.10,43.25,6,13.97,43.61,1,13.99,42.78,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Heats,2
2,13.59,56.51,5,13.50,56.59,6,13.27,56.69,3,13.28,56.53,4,12.98,56.59,1,13.62,56.40,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Heats,2
3,12.64,1:09.15,2,12.54,1:09.13,5,12.64,1:09.33,1,12.50,1:09.03,6,12.88,1:09.47,4,12.82,1:09.22,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Heats,2
1,11.36,1:20.51,3,11.53,1:20.66,5,11.51,1:20.84,2,11.54,1:20.57,6,11.50,1:20.97,4,11.52,1:20.74,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Heats,2
3,11.22,1:31.73,1,10.96,1:31.62,6,11.25,1:32.09,4,11.25,1:31.82,2,10.74,1:31.71,5,11.18,1:31.92,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Heats,2
3,10.31,1:42.04,1,10.20,1:41.82,6,10.29,1:42.38,4,10.34,1:42.16,2,10.19,1:41.90,5,10.35,1:42.27,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Heats,2
3,10.51,1:52.55,1,10.43,1:52.25,6,10.62,1:53.00,4,10.52,1:52.68,2,10.48,1:52.38,5,10.54,1:52.81,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Heats,2
3,10.18,2:02.73,1,10.30,2:02.55,6,10.18,2:03.18,4,10.13,2:02.81,2,10.22,2:02.60,5,10.10,2:02.91,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Heats,2
4,9.89,2:12.62,2,9.91,2:12.46,6,10.15,2:13.33,3,9.78,2:12.59,1,9.84,2:12.44,5,9.83,2:12.74,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Heats,2
4,9.54,2:22.16,3,9.64,2:22.10,6,10.59,2:23.92,1,9.33,2:21.92,2,9.51,2:21.95,5,9.63,2:22.37,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Heats,2
4,9.73,2:31.89,3,9.71,2:31.81,6,10.91,2:34.83,1,9.67,2:31.59,2,9.75,2:31.70,5,9.78,2:32.15,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Heats,2
4,9.81,2:41.692,3,9.83,2:41.631,6,11.44,2:46.266,2,9.99,2:41.580,1,9.76,2:41.459,5,10.05,2:42.199,2012-2013,"ISU World Cup 2012/2013, Shanghai (CHN)",1500m,w,Heats,2
