START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
0,,,0,10.408,10.408,0,,,0,24.437,24.437,0,9.994,9.994,0,10.444,10.444,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,3
0,,,0,14.770,25.177,0,,,0,12.937,37.373,0,14.715,24.709,0,14.378,24.822,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,3
0,,,0,12.480,37.657,0,,,0,,,0,13.536,38.245,0,12.640,37.462,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,3
0,,,0,12.504,50.161,0,,,0,,49.774,0,13.003,51.247,0,12.480,49.942,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,3
0,,,0,12.318,1:02.479,0,,,0,12.310,1:02.084,0,13.431,1:04.678,0,12.103,1:02.045,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,3
0,,,0,11.959,1:14.438,0,,,0,12.010,1:14.094,0,13.512,1:18.190,0,12.178,1:14.223,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,3
0,,,0,11.934,1:26.372,0,,,0,12.041,1:26.135,0,13.875,1:32.065,0,11.955,1:26.178,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,3
0,,,0,11.545,1:37.917,0,,,0,11.516,1:37.651,0,13.820,1:45.885,0,11.592,1:37.770,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,3
0,,,0,11.690,1:49.607,0,,,0,11.711,1:49.363,0,14.135,2:00.020,0,11.527,1:49.297,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,3
0,,,0,11.127,2:00.734,0,,,0,10.964,2:00.327,0,14.478,2:14.498,0,11.189,2:00.485,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,3
0,,,0,10.866,2:11.600,0,,,0,10.838,2:11.164,0,14.234,2:28.732,0,10.793,2:11.278,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,3
0,,,0,11.138,2:22.737,0,,,0,9.988,2:21.152,0,14.086,2:42.818,0,10.245,2:21.523,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,3
0,,,0,11.245,2:33.982,0,,,0,9.724,2:30.876,0,14.332,2:57.149,0,10.034,2:31.557,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,3
0,,,0,,,0,,,0,,,0,,,0,,,2006-2007,"2007 ISU European Championships, Great Britain",1500m,w,Heats,3
