START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,8.05,8.05,4,8.23,8.23,5,8.38,8.38,1,7.92,7.92,3,8.14,8.14,6,8.58,8.58,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Semifinals,3
3,11.31,19.36,4,11.15,19.38,5,11.07,19.46,1,11.24,19.17,2,11.07,19.22,6,11.03,19.61,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Semifinals,3
5,10.82,30.19,1,10.20,29.59,4,10.64,30.10,3,10.79,29.96,2,10.65,29.87,6,10.76,30.37,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Semifinals,3
4,10.46,40.66,1,10.63,40.23,5,10.56,40.66,2,10.44,40.40,3,10.59,40.47,6,10.53,40.90,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Semifinals,3
4,10.74,51.40,1,10.71,50.94,5,10.76,51.42,3,10.78,51.19,2,10.69,51.17,6,10.70,51.61,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Semifinals,3
4,9.90,1:01.30,3,10.08,1:01.03,5,10.08,1:01.51,1,9.77,1:00.97,2,9.81,1:00.98,6,10.08,1:01.69,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Semifinals,3
5,10.05,1:11.36,1,9.99,1:11.03,6,10.00,1:11.51,3,10.22,1:11.20,2,10.14,1:11.13,4,9.64,1:11.33,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Semifinals,3
4,9.49,1:20.85,2,9.51,1:20.54,5,9.43,1:20.94,1,9.22,1:20.43,3,9.53,1:20.67,6,9.77,1:21.11,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Semifinals,3
4,9.23,1:30.09,2,9.30,1:29.84,5,9.19,1:30.13,1,9.32,1:29.75,3,9.39,1:30.07,6,9.51,1:30.62,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Semifinals,3
4,9.20,1:39.30,2,9.32,1:39.17,5,9.20,1:39.34,1,9.34,1:39.09,3,9.15,1:39.22,6,9.04,1:39.66,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Semifinals,3
3,9.29,1:48.59,2,9.27,1:48.44,5,9.29,1:48.64,1,9.21,1:48.31,4,9.40,1:48.63,6,9.21,1:48.88,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Semifinals,3
4,9.42,1:58.01,2,9.26,1:57.70,6,9.42,1:58.07,1,9.20,1:57.51,3,9.23,1:57.87,5,9.17,1:58.06,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Semifinals,3
3,9.13,2:07.15,2,9.28,2:06.98,5,9.51,2:07.58,1,9.35,2:06.87,4,9.31,2:07.18,6,9.59,2:07.65,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Semifinals,3
4,9.93,2:17.074,2,9.59,2:16.570,6,10.07,2:17.647,1,9.64,2:16.502,3,9.50,2:16.678,5,9.78,2:17.423,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Semifinals,3
