START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,8.32,8.32,1,8.27,8.27,3,8.53,8.53,4,8.65,8.65,5,8.78,8.78,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,Heats,4
2,11.07,19.39,1,10.88,19.15,3,10.99,19.52,4,10.97,19.62,5,10.99,19.77,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,Heats,4
2,10.05,29.44,1,10.20,29.35,3,10.05,29.57,4,10.06,29.68,5,10.04,29.81,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,Heats,4
2,10.16,39.60,1,10.13,39.48,3,10.19,39.76,4,10.21,39.89,5,10.18,39.99,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,Heats,4
2,10.05,49.65,1,10.06,49.54,3,9.97,49.73,4,10.00,49.89,5,9.99,49.98,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,Heats,4
2,9.97,59.62,1,9.96,59.50,3,9.95,59.68,4,9.94,59.83,5,9.94,59.92,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,Heats,4
2,9.76,1:09.38,1,9.80,1:09.30,3,9.80,1:09.48,5,9.91,1:09.74,4,9.71,1:09.63,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,Heats,4
2,9.77,1:19.15,1,9.72,1:19.02,3,9.79,1:19.27,5,9.84,1:19.58,4,9.83,1:19.46,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,Heats,4
2,9.74,1:28.89,1,9.78,1:28.80,4,9.75,1:29.02,5,9.55,1:29.13,3,9.56,1:29.02,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,Heats,4
4,9.91,1:38.80,2,9.86,1:38.66,5,9.95,1:38.97,3,9.59,1:38.72,1,9.63,1:38.65,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,Heats,4
4,10.14,1:48.94,3,10.08,1:48.74,5,10.56,1:49.53,2,9.23,1:47.95,1,9.23,1:47.88,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,Heats,4
4,10.18,1:59.12,3,10.22,1:58.96,5,11.55,2:01.08,2,9.31,1:57.26,1,9.27,1:57.15,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,Heats,4
4,10.48,2:09.60,3,10.49,2:09.45,5,12.10,2:13.18,2,9.56,2:06.82,1,9.55,2:06.70,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,Heats,4
4,10.72,2:20.316,3,10.70,2:20.143,5,12.80,2:25.972,2,10.05,2:16.863,1,10.06,2:16.753,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),m,Heats,4
