START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,9.39,9.39,2,9.50,9.50,5,9.85,9.85,4,9.66,9.66,6,10.01,10.01,3,9.57,9.57,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,1
2,12.63,22.02,3,12.65,22.15,5,12.55,22.40,4,12.60,22.26,6,12.56,22.57,1,12.33,21.90,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,1
1,12.58,34.60,3,12.69,34.84,6,12.81,35.21,4,12.79,35.05,5,12.60,35.17,2,12.81,34.71,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,1
4,11.82,46.42,2,11.42,46.26,6,11.61,46.82,5,11.62,46.67,1,10.98,46.15,3,11.66,46.37,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,1
3,11.27,57.69,2,11.38,57.64,6,11.15,57.97,5,11.22,57.89,1,11.40,57.55,4,11.41,57.78,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,1
1,10.72,1:08.41,4,11.07,1:08.71,5,10.86,1:08.83,6,11.02,1:08.91,3,11.05,1:08.60,2,10.70,1:08.48,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,1
1,10.40,1:18.81,2,10.15,1:18.86,6,10.42,1:19.25,5,10.23,1:19.14,4,10.48,1:19.08,3,10.44,1:18.92,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,1
2,9.75,1:28.56,4,9.93,1:28.79,1,9.17,1:28.42,5,9.79,1:28.93,6,9.99,1:29.07,3,9.71,1:28.63,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,1
2,9.30,1:37.86,4,9.32,1:38.11,1,9.30,1:37.72,5,9.28,1:38.21,6,9.24,1:38.31,3,9.36,1:37.99,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,1
2,9.31,1:47.17,4,9.34,1:47.45,1,9.34,1:47.06,5,9.37,1:47.58,6,9.41,1:47.72,3,9.27,1:47.26,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,1
2,9.10,1:56.27,4,9.17,1:56.62,1,9.07,1:56.13,5,9.22,1:56.80,6,9.18,1:56.90,3,9.18,1:56.44,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,1
2,9.04,2:05.31,4,9.06,2:05.68,1,9.02,2:05.15,6,9.29,2:06.09,5,9.06,2:05.96,3,8.96,2:05.40,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,1
2,9.21,2:14.52,4,9.24,2:14.92,1,9.20,2:14.35,6,9.41,2:15.50,5,9.07,2:15.03,3,9.25,2:14.65,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,1
2,9.11,2:23.623,5,9.74,2:24.652,1,9.15,2:23.492,6,9.73,2:25.228,4,9.04,2:24.067,3,9.29,2:23.937,2012-2013,"ISU World Cup 2012/2013, Montreal (CAN)",1500m,m,Heats,1
