START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
1,8.09,8.09,3,8.27,8.27,2,8.17,8.17,5,8.39,8.39,7,8.44,8.44,4,8.38,8.38,8,8.58,8.58,6,8.40,8.40,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,2
2,11.20,19.29,5,11.28,19.55,6,11.46,19.63,3,10.94,19.33,4,11.04,19.48,7,11.38,19.76,8,11.30,19.88,1,10.85,19.25,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,2
2,10.73,30.02,4,10.63,30.18,5,10.57,30.20,6,10.93,30.26,1,10.53,30.01,7,10.64,30.40,8,10.64,30.52,3,10.85,30.10,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,2
2,10.43,40.45,5,10.47,40.65,1,10.16,40.36,6,10.52,40.78,4,10.53,40.54,7,10.47,40.87,8,10.47,40.99,3,10.43,40.53,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,2
1,10.26,50.71,4,10.34,50.99,2,10.38,50.74,6,10.38,51.16,5,10.53,51.07,8,10.39,51.26,7,10.22,51.21,3,10.36,50.89,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,2
2,9.89,1:00.60,5,9.80,1:00.79,3,9.93,1:00.67,7,9.74,1:00.90,6,9.80,1:00.87,8,9.77,1:01.03,1,9.26,1:00.47,4,9.78,1:00.67,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,2
4,9.66,1:10.26,5,9.54,1:10.33,2,9.38,1:10.05,7,9.64,1:10.54,6,9.55,1:10.42,8,9.61,1:10.64,1,9.53,1:10.00,3,9.46,1:10.13,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,2
3,9.55,1:19.81,5,9.72,1:20.05,2,9.65,1:19.70,7,9.69,1:20.23,6,9.71,1:20.13,8,9.67,1:20.31,1,9.62,1:19.62,4,9.80,1:19.93,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,2
3,9.30,1:29.11,5,9.20,1:29.25,1,9.22,1:28.92,7,9.19,1:29.42,6,9.22,1:29.35,8,9.26,1:29.57,2,9.38,1:29.00,4,9.25,1:29.18,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,2
2,9.13,1:38.24,5,9.26,1:38.51,1,9.22,1:38.14,7,9.33,1:38.75,6,9.28,1:38.63,8,9.28,1:38.85,3,9.37,1:38.37,4,9.20,1:38.38,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,2
1,8.82,1:47.06,4,8.83,1:47.34,2,8.98,1:47.12,7,8.90,1:47.65,5,8.87,1:47.50,8,8.87,1:47.72,6,9.16,1:47.53,3,8.87,1:47.25,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,2
1,8.95,1:56.01,4,8.82,1:56.16,2,8.98,1:56.10,6,8.81,1:56.46,5,8.82,1:56.32,7,8.97,1:56.69,8,9.20,1:56.73,3,8.88,1:56.13,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,2
1,9.08,2:05.09,4,9.37,2:05.53,2,9.15,2:05.25,7,9.29,2:05.75,3,9.06,2:05.38,6,8.98,2:05.67,8,9.62,2:06.35,5,9.46,2:05.59,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,2
1,9.28,2:14.369,4,9.05,2:14.576,2,9.16,2:14.409,7,9.72,2:15.464,3,9.04,2:14.420,5,9.11,2:14.774,8,10.29,2:16.632,6,9.63,2:15.215,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,Semifinals,2
