START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,9.37,9.37,1,9.21,9.21,3,9.51,9.51,4,9.64,9.64,5,9.66,9.66,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,5
2,13.71,23.08,1,13.72,22.93,3,13.71,23.22,4,13.75,23.39,5,13.86,23.52,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,5
2,13.17,36.25,1,13.16,36.09,3,13.14,36.36,4,13.14,36.53,5,13.10,36.62,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,5
2,12.32,48.57,1,12.45,48.54,3,12.40,48.76,4,12.31,48.84,5,12.37,48.99,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,5
3,10.75,59.32,1,10.73,59.27,2,10.52,59.28,4,10.73,59.57,5,10.66,59.65,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,5
3,10.27,1:09.59,1,10.18,1:09.45,2,10.19,1:09.47,4,10.19,1:09.76,5,10.17,1:09.82,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,5
4,10.26,1:19.85,1,10.21,1:19.66,2,10.22,1:19.69,3,9.98,1:19.74,5,10.07,1:19.89,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,5
4,9.46,1:29.31,2,9.47,1:29.13,3,9.51,1:29.20,1,9.29,1:29.03,5,9.51,1:29.40,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,5
4,9.45,1:38.76,3,9.62,1:38.75,1,9.42,1:38.62,2,9.60,1:38.63,5,9.57,1:38.97,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,5
3,9.19,1:47.95,4,9.37,1:48.12,1,9.03,1:47.65,2,9.19,1:47.82,5,9.23,1:48.20,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,5
3,8.99,1:56.94,5,9.15,1:57.27,1,9.13,1:56.78,2,8.98,1:56.80,4,8.94,1:57.14,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,5
3,9.06,2:06.00,5,9.17,2:06.44,2,9.09,2:05.87,1,8.90,2:05.70,4,9.04,2:06.18,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,5
3,9.23,2:15.23,5,9.53,2:15.97,2,9.27,2:15.14,1,9.03,2:14.73,4,9.11,2:15.29,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,5
3,9.95,2:25.172,5,10.61,2:26.572,4,11.19,2:26.325,1,9.77,2:24.491,2,9.47,2:24.753,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Quarterfinals,5
