START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,8.190,8.190,6,8.610,8.610,3,8.060,8.060,2,8.000,8.000,1,7.970,7.970,5,8.340,8.340,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,Heats,3
4,11.550,19.750,6,11.460,20.070,2,11.270,19.330,3,11.510,19.520,1,11.230,19.200,5,11.450,19.800,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,Heats,3
3,10.570,30.320,6,10.530,30.600,1,10.790,30.130,4,10.860,30.390,2,11.070,30.280,5,10.730,30.530,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,Heats,3
2,10.780,41.100,4,10.770,41.380,1,10.940,41.070,5,11.000,41.400,6,11.240,41.520,3,10.820,41.360,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,Heats,3
5,11.000,52.100,2,10.640,52.020,1,10.910,51.980,3,10.630,52.030,6,11.070,52.590,4,10.700,52.070,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,Heats,3
3,10.430,1:02.540,1,10.270,1:02.300,2,10.400,1:02.390,5,10.580,1:02.620,6,11.320,1:03.920,4,10.490,1:02.570,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,Heats,3
3,10.070,1:12.610,1,10.160,1:12.460,4,10.260,1:12.650,2,9.970,1:12.590,6,11.560,1:15.490,5,10.170,1:12.740,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,Heats,3
4,9.710,1:22.320,2,9.830,1:22.300,1,9.540,1:22.200,3,9.720,1:22.310,6,11.740,1:27.230,5,9.650,1:22.400,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,Heats,3
3,9.650,1:31.980,4,9.680,1:31.990,1,9.660,1:31.870,2,9.620,1:31.940,6,12.340,1:39.570,5,9.730,1:32.130,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,Heats,3
2,9.680,1:41.660,4,9.820,1:41.810,1,9.630,1:41.500,3,9.870,1:41.810,6,12.640,1:52.220,5,9.780,1:41.920,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,Heats,3
6,29.850,2:11.510,2,9.670,1:51.490,1,9.900,1:51.410,3,9.800,1:51.610,5,12.380,2:04.600,4,9.810,1:51.730,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,Heats,3
6,21.770,2:33.290,2,9.790,2:01.280,3,9.920,2:01.330,1,9.440,2:01.050,5,12.240,2:16.840,4,9.890,2:01.630,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,Heats,3
6,16.920,2:50.210,4,9.900,2:11.190,1,9.770,2:11.110,2,10.070,2:11.130,5,12.520,2:29.370,3,9.500,2:11.130,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,Heats,3
6,14.420,3:04.640,1,10.100,2:21.300,2,10.240,2:21.360,3,10.500,2:21.630,5,12.740,2:42.110,4,10.880,2:22.020,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(1),m,Heats,3
