START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
0,9.757,9.757,0,10.067,10.067,0,9.834,9.834,0,,,0,9.646,9.646,0,9.915,9.915,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,4
0,12.488,22.245,0,12.332,22.399,0,12.384,22.218,0,,,0,12.443,22.089,0,12.030,21.945,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,4
0,12.120,34.365,0,11.899,34.298,0,11.920,34.138,0,,,0,11.542,33.631,0,11.923,33.868,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,4
0,12.084,46.449,0,12.130,46.428,0,12.083,46.221,0,,,0,12.364,45.994,0,12.175,46.043,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,4
0,11.911,58.360,0,11.959,58.387,0,12.080,58.302,0,,,0,12.185,58.179,0,12.004,58.047,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,4
0,12.042,1:10.402,0,12.266,1:10.653,0,12.104,1:10.405,0,,,0,11.734,1:09.913,0,12.056,1:10.103,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,4
0,11.368,1:21.770,0,10.630,1:21.282,0,11.044,1:21.450,0,,,0,11.251,1:21.164,0,11.114,1:21.217,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,4
0,10.262,1:32.033,0,10.334,1:31.616,0,10.304,1:31.753,0,,,0,10.522,1:31.686,0,10.305,1:31.522,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,4
0,10.478,1:42.511,0,10.537,1:42.153,0,10.473,1:42.226,0,,,0,10.030,1:41.716,0,10.188,1:41.710,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,4
0,10.057,1:52.568,0,9.994,1:52.148,0,9.969,1:52.195,0,,,0,10.078,1:51.794,0,10.236,1:51.945,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,4
0,9.910,2:02.478,0,9.964,2:02.111,0,9.937,2:02.132,0,,,0,9.779,2:01.573,0,9.868,2:01.813,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,4
0,9.385,2:11.862,0,10.496,2:12.607,0,9.647,2:11.779,0,,,0,9.928,2:11.500,0,9.762,2:11.575,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,4
0,9.680,2:21.542,0,10.904,2:23.511,0,9.733,2:21.512,0,,,0,9.746,2:21.247,0,9.672,2:21.247,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,4
0,,,0,,,0,,,0,,,0,,,0,,,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,4
