START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
0,9.656,9.656,0,9.418,9.418,0,9.068,9.068,0,8.787,8.787,0,8.852,8.852,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,1
0,11.184,20.840,0,11.462,20.880,0,11.626,20.694,0,11.696,20.483,0,11.713,20.565,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,1
0,12.132,32.972,0,11.869,32.749,0,12.265,32.959,0,12.032,32.515,0,12.155,32.720,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,1
0,12.690,45.662,0,12.842,45.591,0,12.249,45.208,0,12.785,45.299,0,12.837,45.556,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,1
0,13.564,59.226,0,13.593,59.183,0,13.641,58.849,0,13.603,58.902,0,13.349,58.905,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,1
0,13.123,1:12.349,0,13.181,1:12.364,0,13.379,1:12.228,0,13.143,1:12.045,0,13.160,1:12.065,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,1
0,11.979,1:24.329,0,11.750,1:24.114,0,11.770,1:23.997,0,11.814,1:23.859,0,11.900,1:23.965,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,1
0,10.702,1:35.031,0,10.792,1:34.905,0,10.732,1:34.729,0,10.860,1:34.719,0,10.699,1:34.664,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,1
0,10.192,1:45.223,0,9.974,1:44.880,0,10.077,1:44.807,0,10.030,1:44.749,0,10.051,1:44.716,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,1
0,10.520,1:55.743,0,9.898,1:54.778,0,10.022,1:54.829,0,9.916,1:54.665,0,9.947,1:54.662,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,1
0,10.898,2:06.641,0,9.991,2:04.769,0,10.075,2:04.903,0,9.994,2:04.659,0,9.965,2:04.627,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,1
0,11.382,2:18.022,0,10.031,2:14.799,0,10.146,2:15.049,0,10.034,2:14.692,0,10.116,2:14.743,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,1
0,11.982,2:30.004,0,10.092,2:24.892,0,9.781,2:24.830,0,10.128,2:24.820,0,9.997,2:24.739,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,1
0,,,0,,,0,,,0,,,0,,,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,w,Heats,1
