START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,9.02,9.02,3,9.11,9.11,5,9.28,9.28,4,9.18,9.18,2,9.10,9.10,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepHeats,1
2,12.94,21.96,5,13.28,22.39,1,12.57,21.85,4,13.05,22.23,3,12.98,22.08,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepHeats,1
3,11.90,33.86,1,11.28,33.67,2,11.83,33.68,5,11.88,34.11,4,11.92,34.00,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepHeats,1
3,10.93,44.79,1,10.95,44.62,2,11.02,44.70,5,10.89,45.00,4,10.90,44.90,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepHeats,1
3,11.10,55.89,1,11.13,55.75,2,11.14,55.84,5,11.09,56.09,4,11.07,55.97,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepHeats,1
3,11.10,1:06.99,2,11.16,1:06.91,1,10.89,1:06.73,5,11.20,1:07.29,4,11.18,1:07.15,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepHeats,1
2,10.09,1:17.08,3,10.18,1:17.09,1,10.26,1:16.99,5,9.98,1:17.27,4,10.12,1:17.27,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepHeats,1
2,9.51,1:26.59,3,9.63,1:26.72,1,9.51,1:26.50,5,9.84,1:27.11,4,9.54,1:26.81,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepHeats,1
2,9.55,1:36.14,3,9.51,1:36.23,1,9.53,1:36.03,5,9.39,1:36.50,4,9.51,1:36.32,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepHeats,1
2,9.59,1:45.73,3,9.58,1:45.81,1,9.60,1:45.63,5,9.55,1:46.05,4,9.59,1:45.91,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepHeats,1
2,9.62,1:55.35,3,9.64,1:55.45,1,9.60,1:55.23,5,9.62,1:55.67,4,9.62,1:55.53,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepHeats,1
2,9.57,2:04.92,3,9.60,2:05.05,1,9.57,2:04.80,5,9.67,2:05.34,4,9.63,2:05.16,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepHeats,1
2,9.56,2:14.48,3,9.56,2:14.61,1,9.58,2:14.38,5,9.97,2:15.31,4,9.99,2:15.15,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepHeats,1
2,9.72,2:24.198,3,9.59,2:24.199,1,9.76,2:24.140,5,9.92,2:25.224,4,10.03,2:25.179,2011-2012,"ISU World Cup 2011/2012, CAN, Saguenay",1500m,m,RepHeats,1
