START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,10.87,10.87,2,11.03,11.03,3,11.30,11.30,4,11.55,11.55,5,11.75,11.75,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Rep.Quarterfinals,3
1,17.08,27.95,2,17.10,28.13,3,17.01,28.31,4,16.92,28.47,5,16.90,28.65,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Rep.Quarterfinals,3
1,16.27,44.22,3,16.23,44.36,4,16.24,44.55,5,16.32,44.79,2,15.67,44.32,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Rep.Quarterfinals,3
1,14.48,58.70,3,14.60,58.96,4,14.52,59.07,5,14.36,59.15,2,14.45,58.77,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Rep.Quarterfinals,3
2,14.62,1:13.32,1,14.31,1:13.27,5,14.54,1:13.61,3,14.30,1:13.45,4,14.70,1:13.47,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Rep.Quarterfinals,3
4,11.70,1:25.02,3,11.67,1:24.94,2,11.21,1:24.82,1,11.36,1:24.81,5,11.66,1:25.13,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Rep.Quarterfinals,3
4,10.18,1:35.20,3,10.12,1:35.06,1,10.05,1:34.87,2,10.16,1:34.97,5,10.21,1:35.34,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Rep.Quarterfinals,3
4,10.39,1:45.59,3,10.38,1:45.44,1,10.43,1:45.30,2,10.46,1:45.43,5,10.49,1:45.83,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Rep.Quarterfinals,3
4,9.99,1:55.58,2,9.91,1:55.35,1,9.96,1:55.26,3,10.07,1:55.50,5,9.88,1:55.71,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Rep.Quarterfinals,3
4,9.59,2:05.17,2,9.66,2:05.01,1,9.64,2:04.90,3,9.61,2:05.11,5,9.66,2:05.37,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Rep.Quarterfinals,3
4,9.47,2:14.64,3,9.48,2:14.49,1,9.46,2:14.36,2,9.36,2:14.47,5,9.53,2:14.90,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Rep.Quarterfinals,3
4,9.64,2:24.28,3,9.73,2:24.22,1,9.56,2:23.92,2,9.55,2:24.02,5,9.66,2:24.56,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Rep.Quarterfinals,3
3,9.73,2:34.01,4,10.08,2:34.30,1,9.74,2:33.66,2,9.74,2:33.76,5,9.92,2:34.48,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Rep.Quarterfinals,3
3,9.73,2:43.746,5,10.55,2:44.857,1,9.97,2:43.63,2,9.91,2:43.67,4,10.12,2:44.602,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,w,Rep.Quarterfinals,3
