START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
3,9.16,9.16,7,9.45,9.45,5,9.30,9.30,2,9.04,9.04,4,9.26,9.26,1,8.92,8.92,6,9.39,9.39,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,w,RankingFinals,4
3,13.34,22.50,6,13.38,22.83,5,13.42,22.72,2,13.35,22.39,4,13.37,22.63,1,13.37,22.29,7,13.59,22.98,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,w,RankingFinals,4
3,13.36,35.86,5,13.20,36.03,6,13.37,36.09,2,13.35,35.74,4,13.34,35.97,1,13.31,35.60,7,13.30,36.28,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,w,RankingFinals,4
2,11.83,47.69,1,11.55,47.58,6,12.21,48.30,3,12.01,47.75,5,12.16,48.13,4,12.42,48.02,7,12.05,48.33,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,w,RankingFinals,4
2,10.88,58.57,3,11.08,58.66,5,10.66,58.96,1,10.72,58.47,4,10.67,58.80,5,10.94,58.96,7,10.78,59.11,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,w,RankingFinals,4
2,11.41,1:09.98,3,11.43,1:10.09,5,11.35,1:10.31,1,11.39,1:09.86,4,11.41,1:10.21,7,11.52,1:10.48,6,11.32,1:10.43,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,w,RankingFinals,4
2,11.90,1:21.88,3,11.90,1:21.99,4,11.79,1:22.10,1,11.91,1:21.77,5,11.98,1:22.19,7,11.91,1:22.39,6,11.87,1:22.30,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,w,RankingFinals,4
1,11.80,1:33.68,3,11.85,1:33.84,5,11.88,1:33.98,2,11.97,1:33.74,4,11.67,1:33.86,7,11.90,1:34.29,6,11.73,1:34.03,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,w,RankingFinals,4
1,10.61,1:44.29,2,10.56,1:44.40,5,10.75,1:44.73,2,10.66,1:44.40,4,10.74,1:44.60,7,10.82,1:45.11,6,10.78,1:44.81,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,w,RankingFinals,4
1,10.16,1:54.45,3,10.26,1:54.66,5,10.25,1:54.98,2,10.15,1:54.55,4,10.21,1:54.81,7,10.38,1:55.49,6,10.20,1:55.01,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,w,RankingFinals,4
1,10.08,2:04.53,3,10.07,2:04.73,6,10.57,2:05.55,2,10.10,2:04.65,4,10.12,2:04.93,7,10.58,2:06.07,5,10.08,2:05.09,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,w,RankingFinals,4
1,10.39,2:14.92,3,10.36,2:15.09,6,10.85,2:16.40,2,10.36,2:15.01,4,10.34,2:15.27,7,11.24,2:17.31,5,10.48,2:15.57,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,w,RankingFinals,4
3,10.55,2:25.47,1,10.07,2:25.16,6,11.07,2:27.47,2,10.32,2:25.33,4,10.68,2:25.95,7,11.39,2:28.70,5,10.92,2:26.49,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,w,RankingFinals,4
3,10.58,2:36.034,1,10.22,2:35.366,6,11.45,2:38.889,2,10.28,2:35.592,4,11.08,2:37.012,7,11.90,2:40.589,5,11.63,2:38.095,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,w,RankingFinals,4
