START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
3,11.35,11.35,2,11.19,11.19,5,11.58,11.58,1,11.07,11.07,7,12.17,12.17,4,11.53,11.53,6,11.82,11.82,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),w,Heats,6
3,13.85,25.20,2,13.86,25.05,5,13.85,25.43,1,13.82,24.89,7,13.56,25.73,4,13.84,25.37,6,13.77,25.59,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),w,Heats,6
3,12.42,37.62,2,12.47,37.52,5,12.25,37.68,1,12.45,37.34,7,12.33,38.06,4,12.29,37.66,6,12.27,37.86,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),w,Heats,6
4,11.45,49.07,2,11.40,48.92,1,11.20,48.88,3,11.60,48.94,7,11.46,49.52,5,11.56,49.22,6,11.52,49.38,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),w,Heats,6
5,10.75,59.82,2,10.74,59.66,1,10.65,59.53,3,10.80,59.74,7,10.61,1:00.13,4,10.58,59.80,6,10.59,59.97,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),w,Heats,6
2,10.94,1:10.76,3,11.13,1:10.79,1,11.16,1:10.69,4,11.12,1:10.86,5,10.80,1:10.93,7,11.25,1:11.05,6,10.97,1:10.94,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),w,Heats,6
1,10.45,1:21.21,3,10.61,1:21.40,2,10.60,1:21.29,4,10.63,1:21.49,5,10.65,1:21.58,7,10.72,1:21.77,6,10.76,1:21.70,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),w,Heats,6
1,10.67,1:31.88,5,10.75,1:32.15,4,10.79,1:32.08,6,10.72,1:32.21,2,10.42,1:32.00,7,10.48,1:32.25,3,10.37,1:32.07,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),w,Heats,6
3,10.16,1:42.04,2,9.72,1:41.87,6,10.18,1:42.26,7,10.18,1:42.39,1,9.80,1:41.80,5,9.81,1:42.06,4,9.98,1:42.05,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),w,Heats,6
5,10.04,1:52.08,2,9.91,1:51.78,6,10.01,1:52.27,7,9.93,1:52.32,1,9.87,1:51.67,4,9.89,1:51.95,3,9.81,1:51.86,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),w,Heats,6
5,10.03,2:02.11,2,9.90,2:01.68,6,10.16,2:02.43,7,10.12,2:02.44,1,9.87,2:01.54,4,9.94,2:01.89,3,9.95,2:01.81,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),w,Heats,6
5,10.26,2:12.37,2,9.53,2:11.21,7,10.90,2:13.33,6,10.04,2:12.48,1,9.56,2:11.10,4,9.77,2:11.66,3,9.60,2:11.41,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),w,Heats,6
6,10.87,2:23.24,2,9.55,2:20.76,7,11.52,2:24.85,5,10.37,2:22.85,1,9.53,2:20.63,4,10.05,2:21.71,3,9.55,2:20.96,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),w,Heats,6
6,12.00,2:35.24,2,9.63,2:30.39,7,11.90,2:36.75,5,10.38,2:33.23,1,9.62,2:30.25,4,10.94,2:32.65,3,9.71,2:30.67,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),w,Heats,6
