START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,9.10,9.10,5,9.42,9.42,1,9.10,9.10,4,9.28,9.28,3,9.10,9.10,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,m,RepHeats,3
4,12.56,21.66,5,12.30,21.72,3,12.44,21.54,1,11.98,21.26,2,12.33,21.43,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,m,RepHeats,3
4,11.45,33.11,5,11.53,33.25,3,11.49,33.03,1,11.52,32.78,2,11.49,32.92,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,m,RepHeats,3
4,10.99,44.10,5,10.96,44.21,3,10.95,43.98,1,10.96,43.74,2,10.94,43.86,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,m,RepHeats,3
4,10.53,54.63,5,10.52,54.73,3,10.54,54.52,1,10.55,54.29,2,10.57,54.43,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,m,RepHeats,3
4,10.62,1:05.25,5,10.64,1:05.37,3,10.64,1:05.16,1,10.69,1:04.98,2,10.66,1:05.09,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,m,RepHeats,3
5,10.12,1:15.37,2,9.68,1:15.05,1,9.82,1:14.98,3,10.14,1:15.12,4,10.15,1:15.24,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,m,RepHeats,3
5,9.34,1:24.71,1,9.14,1:24.19,2,9.33,1:24.31,3,9.38,1:24.50,4,9.35,1:24.59,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,m,RepHeats,3
5,9.24,1:33.95,1,9.32,1:33.51,2,9.32,1:33.63,3,9.23,1:33.73,4,9.27,1:33.86,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,m,RepHeats,3
5,9.38,1:43.33,1,9.27,1:42.78,2,9.25,1:42.88,3,9.32,1:43.05,4,9.34,1:43.20,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,m,RepHeats,3
5,9.27,1:52.60,1,9.16,1:51.94,2,9.15,1:52.03,3,9.27,1:52.32,4,9.24,1:52.44,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,m,RepHeats,3
5,9.35,2:01.95,1,9.12,2:01.06,2,9.15,2:01.18,3,9.45,2:01.77,4,9.43,2:01.87,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,m,RepHeats,3
4,9.74,2:11.69,1,9.23,2:10.29,2,9.20,2:10.38,3,9.88,2:11.65,5,10.05,2:11.92,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,m,RepHeats,3
3,9.63,2:21.314,1,9.57,2:19.860,2,9.67,2:20.048,4,10.17,2:21.814,5,10.57,2:22.486,2014-2015,ISU World Cup 2014/15 - Shanghai (CHN),1500m,m,RepHeats,3
