START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
1,8.54,8.54,2,8.68,8.68,3,8.86,8.86,4,9.05,9.05,5,9.18,9.18,6,9.35,9.35,7,9.54,9.54,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Quarterfinals,8
1,10.68,19.22,2,10.62,19.30,3,10.58,19.44,4,10.51,19.56,5,10.49,19.67,6,10.38,19.73,7,10.33,19.87,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Quarterfinals,8
1,10.02,29.24,2,10.03,29.33,3,10.02,29.46,4,10.00,29.56,5,9.99,29.66,6,10.02,29.75,7,10.02,29.89,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Quarterfinals,8
1,9.90,39.14,2,9.89,39.22,3,9.88,39.34,4,9.89,39.45,5,9.90,39.56,6,9.90,39.65,7,9.90,39.79,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Quarterfinals,8
1,10.00,49.14,2,10.00,49.22,3,10.00,49.34,4,10.01,49.46,5,9.99,49.55,6,9.99,49.64,7,9.97,49.76,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Quarterfinals,8
1,10.09,59.23,2,10.08,59.30,3,10.06,59.40,4,10.04,59.50,5,10.03,59.58,6,10.03,59.67,7,10.03,59.79,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Quarterfinals,8
1,10.18,1:09.41,2,10.17,1:09.47,3,10.23,1:09.63,4,10.21,1:09.71,5,10.20,1:09.78,6,10.22,1:09.89,6,10.10,1:09.89,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Quarterfinals,8
2,10.18,1:19.59,3,10.22,1:19.69,6,10.33,1:19.96,4,10.08,1:19.79,5,10.06,1:19.84,7,10.15,1:20.04,1,9.53,1:19.42,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Quarterfinals,8
1,9.67,1:29.26,5,9.89,1:29.58,7,10.40,1:30.36,3,9.62,1:29.41,4,9.68,1:29.52,6,9.80,1:29.84,2,9.90,1:29.32,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Quarterfinals,8
1,9.68,1:38.94,5,9.63,1:39.21,7,10.87,1:41.23,3,9.67,1:39.08,4,9.68,1:39.20,6,9.63,1:39.47,2,9.64,1:38.96,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Quarterfinals,8
4,9.67,1:48.61,3,9.39,1:48.60,7,11.56,1:52.79,2,9.35,1:48.43,5,9.63,1:48.83,6,9.68,1:49.15,1,9.36,1:48.32,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Quarterfinals,8
4,9.51,1:58.12,3,9.30,1:57.90,7,12.24,2:05.03,2,9.27,1:57.70,5,9.72,1:58.55,6,10.14,1:59.29,1,9.29,1:57.61,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Quarterfinals,8
4,9.74,2:07.86,3,9.34,2:07.24,7,13.92,2:18.95,2,9.29,2:06.99,5,10.18,2:08.73,6,10.82,2:10.11,1,9.27,2:06.88,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Quarterfinals,8
4,10.15,2:18.014,3,9.75,2:16.990,7,12.34,2:31.295,2,9.53,2:16.520,5,10.89,2:19.620,6,11.59,2:21.703,1,9.36,2:16.246,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Quarterfinals,8
