START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
1,9.22,9.22,2,9.37,9.37,6,9.78,,4,9.65,9.65,3,9.47,9.47,7,10.00,10.00,5,9.69,9.69,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2
1,13.68,22.90,2,13.67,23.04,6,13.78,,5,13.81,23.46,3,13.69,23.16,7,13.61,23.61,4,13.64,23.33,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2
2,11.73,34.63,3,11.67,34.71,7,11.52,,5,11.40,34.86,4,11.64,34.80,1,10.87,34.48,6,11.62,34.95,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2
1,10.56,45.19,3,10.61,45.32,6,10.52,,4,10.57,45.43,7,10.85,45.65,2,10.73,45.21,5,10.60,45.55,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2
2,10.04,55.23,3,10.02,55.34,1,9.50,,3,9.91,55.34,7,10.08,55.73,6,10.37,55.58,5,10.02,55.57,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2
2,9.38,1:04.61,4,9.46,1:04.80,3,9.60,,1,9.11,1:04.45,6,9.28,1:05.01,7,9.53,1:05.11,5,9.32,1:04.89,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2
2,9.53,1:14.14,7,18.77,1:23.57,5,9.77,,1,9.53,1:13.98,4,9.38,1:14.39,6,9.37,1:14.48,3,9.41,1:14.30,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2
2,9.30,1:23.44,7,23.24,1:46.81,6,9.50,,1,9.34,1:23.32,5,9.27,1:23.66,3,9.01,1:23.49,4,9.25,1:23.55,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2
2,8.97,1:32.41,7,10.66,1:57.47,6,8.92,,1,9.04,1:32.36,5,9.03,1:32.69,3,9.10,1:32.59,4,9.13,1:32.68,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2
1,8.74,1:41.15,7,11.58,2:09.05,6,8.89,,2,9.00,1:41.36,4,8.88,1:41.57,3,8.89,1:41.48,5,9.08,1:41.76,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2
1,8.97,1:50.12,7,10.92,2:19.97,5,8.99,,2,8.85,1:50.21,4,8.87,1:50.44,3,8.86,1:50.34,6,9.11,1:50.87,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2
1,9.05,1:59.17,7,10.41,2:30.38,6,9.25,,2,9.12,1:59.33,3,8.96,1:59.40,4,9.22,1:59.56,5,9.07,1:59.94,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2
1,9.19,2:08.36,7,10.03,2:40.41,6,9.50,,3,9.31,2:08.64,2,9.08,2:08.48,4,9.20,2:08.76,5,9.22,2:09.16,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2
1,9.28,2:17.64,7,10.11,2:50.52,6,9.96,,5,9.89,2:18.508,2,9.31,2:17.79,3,9.66,2:18.42,4,9.34,2:18.50,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2
