START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.00,9.00,5,9.21,9.21,1,8.90,8.90,4,9.04,9.04,6,9.38,9.38,3,9.01,9.01,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,m,Heats,5
4,11.72,20.72,5,11.61,20.82,1,11.46,20.36,3,11.54,20.58,6,11.54,20.92,2,11.46,20.47,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,m,Heats,5
4,11.28,32.00,5,11.27,32.09,1,11.26,31.62,3,11.28,31.86,6,11.27,32.19,2,11.27,31.74,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,m,Heats,5
4,10.82,42.82,5,10.84,42.93,1,10.94,42.56,3,10.91,42.77,6,10.87,43.06,2,10.94,42.68,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,m,Heats,5
6,10.56,53.38,4,10.23,53.16,1,10.28,52.84,3,10.30,53.07,5,10.21,53.27,2,10.29,52.97,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,m,Heats,5
6,10.21,1:03.59,4,10.24,1:03.40,1,10.28,1:03.12,3,10.26,1:03.33,5,10.22,1:03.49,2,10.27,1:03.24,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,m,Heats,5
6,10.37,1:13.96,4,10.31,1:13.71,1,10.28,1:13.40,3,10.29,1:13.62,5,10.33,1:13.82,2,10.28,1:13.52,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,m,Heats,5
6,10.01,1:23.97,4,9.95,1:23.66,1,9.96,1:23.36,3,9.93,1:23.55,5,9.95,1:23.77,2,9.85,1:23.37,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,m,Heats,5
6,9.68,1:33.65,4,9.39,1:33.05,1,9.40,1:32.76,3,9.43,1:32.98,5,9.39,1:33.16,2,9.45,1:32.82,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,m,Heats,5
6,10.15,1:43.80,4,9.45,1:42.50,1,9.41,1:42.17,3,9.45,1:42.43,5,9.46,1:42.62,2,9.52,1:42.34,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,m,Heats,5
6,10.35,1:54.15,4,8.96,1:51.46,1,8.97,1:51.14,3,8.96,1:51.39,5,8.94,1:51.56,2,8.98,1:51.32,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,m,Heats,5
6,11.40,2:05.55,2,8.97,2:00.43,1,9.18,2:00.32,3,9.08,2:00.47,5,9.11,2:00.67,4,9.16,2:00.48,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,m,Heats,5
6,12.19,2:17.74,1,9.19,2:09.62,3,9.55,2:09.87,2,9.34,2:09.81,5,9.61,2:10.28,4,9.69,2:10.17,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,m,Heats,5
6,12.19,2:29.921,1,9.08,2:18.694,3,9.44,2:19.302,2,9.18,2:18.990,4,9.29,2:19.569,5,9.88,2:20.046,2009-2010,"2010 ISU World Championships, BUL, Sofia",1500m,m,Heats,5
