START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,8.90,8.90,3,8.95,8.95,1,8.84,8.84,4,8.97,8.97,5,9.13,9.13,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,w,RepSemifinals,2
3,12.41,21.31,4,12.42,21.37,2,12.38,21.22,1,12.16,21.13,5,12.42,21.55,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,w,RepSemifinals,2
4,11.29,32.60,1,10.84,32.21,2,11.16,32.38,3,11.38,32.51,5,11.19,32.74,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,w,RepSemifinals,2
4,10.91,43.51,1,11.00,43.21,2,10.94,43.32,3,10.91,43.42,5,10.87,43.61,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,w,RepSemifinals,2
4,11.13,54.64,1,11.17,54.38,2,11.15,54.47,3,11.15,54.57,5,11.12,54.73,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,w,RepSemifinals,2
4,10.64,1:05.28,3,10.90,1:05.28,1,10.64,1:05.11,2,10.63,1:05.20,5,10.70,1:05.43,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,w,RepSemifinals,2
1,10.08,1:15.36,4,10.39,1:15.67,2,10.38,1:15.49,3,10.38,1:15.58,5,10.32,1:15.75,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,w,RepSemifinals,2
1,10.63,1:25.99,4,10.62,1:26.29,2,10.58,1:26.07,3,10.62,1:26.20,5,10.62,1:26.37,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,w,RepSemifinals,2
1,10.74,1:36.73,5,10.82,1:37.11,3,10.91,1:36.98,2,10.67,1:36.87,4,10.70,1:37.07,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,w,RepSemifinals,2
1,10.50,1:47.23,5,10.47,1:47.58,2,10.34,1:47.32,3,10.46,1:47.33,4,10.37,1:47.44,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,w,RepSemifinals,2
1,10.58,1:57.81,4,10.55,1:58.13,2,10.61,1:57.93,5,10.85,1:58.18,3,10.63,1:58.07,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,w,RepSemifinals,2
1,10.26,2:08.07,4,10.39,2:08.52,2,10.26,2:08.19,5,10.46,2:08.64,3,10.27,2:08.34,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,w,RepSemifinals,2
1,10.29,2:18.36,4,10.15,2:18.67,2,10.30,2:18.49,5,10.10,2:18.74,3,10.25,2:18.59,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,w,RepSemifinals,2
1,10.61,2:28.968,4,10.45,2:29.115,2,10.55,2:29.036,5,10.86,2:29.600,3,10.51,2:29.095,2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1500m,w,RepSemifinals,2
