START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
1,8.18,8.18,3,8.49,8.49,4,8.54,8.54,2,8.44,8.44,7,8.85,8.85,5,8.56,8.56,6,8.73,8.73,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,RepSemifinals,1
2,11.94,20.12,6,11.94,20.44,3,11.67,20.22,4,11.79,20.23,7,11.72,20.57,1,11.53,20.10,5,11.64,20.37,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,RepSemifinals,1
1,10.71,30.84,7,10.76,31.21,3,10.76,30.98,2,10.68,30.91,6,10.60,31.18,4,10.89,30.99,5,10.77,31.15,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,RepSemifinals,1
2,10.14,40.98,6,9.94,41.15,4,10.05,41.04,3,10.08,41.00,5,9.94,41.13,1,9.81,40.80,7,10.17,41.32,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,RepSemifinals,1
1,9.69,50.68,3,9.94,51.10,5,10.17,51.21,4,10.17,51.17,6,10.08,51.21,2,10.06,50.87,7,10.02,51.34,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,RepSemifinals,1
1,10.03,1:00.71,5,10.12,1:01.22,4,9.94,1:01.15,6,10.08,1:01.25,3,9.83,1:01.04,2,9.99,1:00.87,7,9.93,1:01.27,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,RepSemifinals,1
7,11.08,1:11.80,5,10.36,1:11.58,4,10.37,1:11.53,3,10.28,1:11.53,2,10.43,1:11.48,1,10.40,1:11.27,6,10.37,1:11.65,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,RepSemifinals,1
1,9.67,1:21.47,6,10.38,1:21.97,4,10.24,1:21.77,3,10.05,1:21.59,5,10.39,1:21.88,2,10.23,1:21.51,7,10.37,1:22.02,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,RepSemifinals,1
1,9.55,1:31.02,4,9.55,1:31.52,7,9.86,1:31.64,5,10.00,1:31.59,3,9.55,1:31.43,2,9.69,1:31.20,6,9.60,1:31.63,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,RepSemifinals,1
1,9.68,1:40.70,2,9.44,1:40.97,7,9.66,1:41.30,5,9.63,1:41.23,4,9.68,1:41.12,3,9.80,1:41.01,6,9.62,1:41.25,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,RepSemifinals,1
2,9.69,1:50.40,1,9.21,1:50.18,7,9.58,1:50.88,4,9.42,1:50.65,5,9.59,1:50.71,3,9.50,1:50.52,6,9.49,1:50.75,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,RepSemifinals,1
3,9.63,2:00.04,1,9.27,1:59.45,7,9.75,2:00.64,6,9.91,2:00.57,4,9.51,2:00.23,2,9.41,1:59.93,5,9.58,2:00.33,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,RepSemifinals,1
6,10.27,2:10.31,1,9.44,2:08.90,7,9.74,2:10.38,5,9.62,2:10.19,3,9.84,2:10.07,2,9.34,2:09.28,4,9.77,2:10.10,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,RepSemifinals,1
7,10.64,2:20.943,1,9.64,2:18.539,2,8.61,2:18.987,6,10.14,2:20.328,4,9.99,2:20.053,3,10.00,2:19.278,5,10.10,2:20.100,2008-2009,"Samsung ISU World Cup 2008/2009, CAN, BC, Vancouver",1500m,m,RepSemifinals,1
